gene_symbol	uniprot_acc	in_universe	is_bench	topo_gpi_anchored	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_no_tm_no_signal	up_has_glyc	deeptm_TM_NO_SP
ADCY1	Q08828	True	False	0	0	1	0	0	0	0	1	1
ADCY2	Q08462	True	False	0	0	1	0	0	0	0	1	1
ADCY3	O60266	True	False	0	0	1	0	0	0	0	1	1
ADCY4	Q8NFM4	True	False	0	0	1	0	0	0	0	1	1
ADCY5	O95622	True	False	0	0	1	0	0	0	0	1	1
ADCY7	P51828	True	False	0	0	1	0	0	0	0	1	1
ADCY8	P40145	True	False	0	0	1	0	0	0	0	1	1
ADCY9	O60503	True	False	0	0	1	0	0	0	0	1	1
ADCYAP1R1	P41586	True	False	0	1	0	0	0	0	0	1	0
ADGRA1	Q86SQ6	True	False	0	1	0	0	0	0	0	1	1
ADGRA2	Q96PE1	True	False	0	1	0	0	0	0	0	1	0
ADGRA3	Q8IWK6	True	False	0	1	0	0	0	0	0	1	0
ADGRB1	O14514	True	False	0	1	0	0	0	0	0	1	0
ADGRB2	O60241	True	False	0	1	0	0	0	0	0	1	0
ADGRB3	O60242	True	False	0	1	0	0	0	0	0	1	0
ADGRD1	Q6QNK2	True	False	0	1	0	0	0	0	0	1	0
ADGRD2	Q7Z7M1	True	False	0	1	0	0	0	0	0	1	1
ADGRE1	Q14246	True	False	0	1	0	0	0	0	0	1	0
ADGRE2	Q9UHX3	True	False	0	1	0	0	0	0	0	1	0
ADGRE3	Q9BY15	True	False	0	1	0	0	0	0	0	1	0
ADGRE5	P48960	True	False	0	1	0	0	0	0	0	1	0
ADGRF1	Q5T601	True	False	0	1	0	0	0	0	0	1	0
ADGRF3	Q8IZF5	True	False	0	1	0	0	0	0	0	1	0
ADGRF4	Q8IZF3	True	False	0	1	0	0	0	0	0	1	0
ADGRF5	Q8IZF2	True	False	0	1	0	0	0	0	0	1	0
ADGRG1	Q9Y653	True	False	0	1	0	0	0	0	0	1	0
ADGRG2	Q8IZP9	True	False	0	1	0	0	0	0	0	1	0
ADGRG3	Q86Y34	True	False	0	1	0	0	0	0	0	1	0
ADGRG4	Q8IZF6	True	False	0	1	0	0	0	0	0	1	0
ADGRG5	Q8IZF4	True	False	0	1	0	0	0	0	0	1	0
ADGRG6	Q86SQ4	True	False	0	1	0	0	0	0	0	1	0
ADGRG7	Q96K78	True	False	0	1	0	0	0	0	0	1	1
ADGRL1	O94910	True	False	0	1	0	0	0	0	0	1	0
ADGRL2	O95490	True	False	0	1	0	0	0	0	0	1	0
ADGRL3	Q9HAR2	True	False	0	1	0	0	0	0	0	1	0
ADGRL4	Q9HBW9	True	False	0	1	0	0	0	0	0	1	0
ADGRV1	Q8WXG9	True	False	0	1	0	0	0	0	0	0	0
ADIPOR1	Q96A54	True	False	0	0	1	0	0	0	0	0	1
ADIPOR2	Q86V24	True	False	0	0	1	0	0	0	0	0	1
ADISSP	Q9GZN8	True	False	0	0	0	0	0	0	1	0	0
ADM5	C9JUS6	True	False	0	0	0	0	1	0	0	0	0
ADORA1	P30542	True	False	0	1	0	0	0	0	0	1	1
ADORA2A	P29274	True	False	0	1	0	0	0	0	0	1	1
ADORA2B	P29275	True	False	0	1	0	0	0	0	0	1	1
ADORA3	P0DMS8	True	True	0	1	0	0	0	0	0	1	1
ADRA1A	P35348	True	False	0	1	0	0	0	0	0	1	1
ADRA1B	P35368	True	False	0	1	0	0	0	0	0	1	1
ADRA1D	P25100	True	False	0	1	0	0	0	0	0	1	1
ADRA2A	P08913	True	False	0	1	0	0	0	0	0	1	1
ADRA2B	P18089	True	False	0	1	0	0	0	0	0	0	1
ADRA2C	P18825	True	False	0	1	0	0	0	0	0	1	1
ADRB1	P08588	True	False	0	1	0	0	0	0	0	1	1
ADRB2	P07550	True	False	0	1	0	0	0	0	0	1	1
ADRB3	P13945	True	False	0	1	0	0	0	0	0	1	1
ADTRP	Q96IZ2	True	False	0	0	1	0	0	0	0	0	1
AEBP1	Q8IUX7	True	False	0	0	0	0	1	0	0	1	0
AFAP1L2	Q8N4X5	True	False	0	0	0	0	0	0	1	0	0
AGER	Q15109	True	False	0	0	0	1	0	0	0	1	0
AGGF1	Q8N302	True	False	0	0	0	0	0	0	1	0	0
AGK	Q53H12	True	False	0	0	0	0	0	0	1	0	0
AGMO	Q6ZNB7	True	False	0	0	1	0	0	0	0	0	1
AGPAT1	Q99943	True	False	0	0	1	0	0	0	0	0	1
AGR2	O95994	True	False	0	0	0	0	1	0	0	0	0
AGR3	Q8TD06	True	False	0	0	0	0	1	0	0	0	0
AGRN	O00468	True	False	0	0	0	0	1	0	0	1	0
AGTR1	P30556	True	False	0	1	0	0	0	0	0	1	1
AGTR2	P50052	True	False	0	1	0	0	0	0	0	1	1
AGTRAP	Q6RW13	True	False	0	0	1	0	0	0	0	0	1
AHNAK	Q09666	True	False	0	0	0	0	0	0	1	0	0
AHNAK2	Q8IVF2	True	False	0	0	0	0	0	0	1	0	0
AIFM2	Q9BRQ8	True	False	0	0	0	1	0	0	0	0	0
AIMP1	Q12904	True	False	0	0	0	0	0	0	1	0	0
AJAP1	Q9UKB5	True	False	0	0	0	1	0	0	0	0	0
AJM1	C9J069	True	False	0	0	0	0	0	0	1	0	0
AK1	P00568	True	False	0	0	0	0	0	0	1	0	0
AKAP19	Q9BSF0	True	False	0	0	0	0	0	1	0	0	0
AKAP4	Q5JQC9	True	False	0	0	0	0	0	0	1	0	0
ALCAM	Q13740	True	False	0	0	0	1	0	0	0	1	0
ALDOC	P09972	True	False	0	0	0	0	0	0	1	0	0
ALK	Q9UM73	True	False	0	0	0	1	0	0	0	1	0
ALKAL2	Q6UX46	True	False	0	0	0	0	1	0	0	0	0
ALOX5AP	P20292	True	False	0	0	1	0	0	0	0	0	1
ALPG	P10696	True	True	1	0	0	0	0	0	0	1	0
ALPI	P09923	True	False	1	0	0	0	0	0	0	1	0
ALPL	P05186	True	False	1	0	0	0	0	0	0	1	0
ALPP	P05187	True	False	1	0	0	0	0	0	0	1	0
AMFR	Q9UKV5	True	False	0	0	1	0	0	0	0	0	1
AMHR2	Q16671	True	True	0	0	0	1	0	0	0	1	0
AMIGO1	Q86WK6	True	False	0	0	0	1	0	0	0	1	0
AMIGO2	Q86SJ2	True	False	0	0	0	1	0	0	0	1	0
AMIGO3	Q86WK7	True	False	0	0	0	1	0	0	0	1	0
AMN	Q9BXJ7	True	False	0	0	0	1	0	0	0	1	0
AMOT	Q4VCS5	True	False	0	0	0	0	0	0	1	0	0
AMPD2	Q01433	True	False	0	0	0	0	0	0	1	0	0
AMTN	Q6UX39	True	False	0	0	0	0	1	0	0	0	0
ANG	P03950	True	False	0	0	0	0	1	0	0	0	0
ANGPTL2	Q9UKU9	True	False	0	0	0	0	1	0	0	1	0
ANGPTL4	Q9BY76	True	False	0	0	0	0	1	0	0	1	0
ANGPTL7	O43827	True	False	0	0	0	0	1	0	0	1	0
ANGPTL8	Q6UXH0	True	False	0	0	0	0	1	0	0	0	0
ANKH	Q9HCJ1	True	False	0	0	1	0	0	0	0	0	1
ANKRD20A1	Q5TYW2	True	False	0	0	0	0	0	0	1	0	0
ANKRD24	Q8TF21	True	False	0	0	0	0	0	0	1	0	0
ANKRD26	Q9UPS8	True	False	0	0	0	0	0	0	1	0	0
ANO1	Q5XXA6	True	False	0	0	1	0	0	0	0	1	1
ANO2	Q9NQ90	True	False	0	0	1	0	0	0	0	1	1
ANO4	Q32M45	True	False	0	0	1	0	0	0	0	1	1
ANO6	Q4KMQ2	True	False	0	0	1	0	0	0	0	1	1
ANO7	Q6IWH7	True	False	0	0	1	0	0	0	0	1	1
ANO8	Q9HCE9	True	False	0	0	1	0	0	0	0	0	1
ANO9	A1A5B4	True	False	0	0	1	0	0	0	0	1	1
ANOS1	P23352	True	False	0	0	0	0	1	0	0	1	0
ANPEP	P15144	True	False	0	0	0	1	0	0	0	1	1
ANTXR1	Q9H6X2	True	False	0	0	0	1	0	0	0	1	0
ANTXR2	P58335	True	False	0	0	0	1	0	0	0	1	0
ANTXRL	A6NF34	True	False	0	0	0	1	0	0	0	0	0
ANXA1	P04083	True	False	0	0	0	0	0	0	1	0	0
ANXA13	P27216	True	False	0	0	0	0	0	1	0	0	0
ANXA2	P07355	True	False	0	0	0	0	0	0	1	0	0
ANXA2R	Q3ZCQ2	True	False	0	0	0	0	0	0	1	0	0
ANXA3	P12429	True	False	0	0	0	0	0	0	1	0	0
ANXA5	P08758	True	False	0	0	0	0	0	0	1	0	0
ANXA6	P08133	True	False	0	0	0	0	0	0	1	0	0
ANXA7	P20073	True	False	0	0	0	0	0	0	1	0	0
ANXA8	P13928	True	False	0	0	0	0	0	0	1	0	0
ANXA8L1	Q5VT79	True	False	0	0	0	0	0	0	1	0	0
AOC1	P19801	True	False	0	0	0	0	1	0	0	1	0
AOC2	O75106	True	False	0	0	0	1	0	0	0	1	1
AOC3	Q16853	True	False	0	0	0	1	0	0	0	1	1
AOPEP	Q8N6M6	True	False	0	0	0	0	0	0	1	0	0
APBA1	Q02410	True	False	0	0	0	0	0	0	1	0	0
APCDD1	Q8J025	True	False	0	0	0	1	0	0	0	1	0
APCDD1L	Q8NCL9	True	False	0	0	0	1	0	0	0	1	0
APCS	P02743	True	False	0	0	0	0	1	0	0	1	0
APLNR	P35414	True	False	0	1	0	0	0	0	0	1	1
APLP1	P51693	True	False	0	0	0	1	0	0	0	1	0
APLP2	Q06481	True	False	0	0	0	1	0	0	0	1	0
APMAP	Q9HDC9	True	False	0	0	0	1	0	0	0	1	1
APOBR	Q0VD83	True	False	0	0	0	0	0	0	1	0	0
APOE	P02649	True	False	0	0	0	0	1	0	0	1	0
APOH	P02749	True	False	0	0	0	0	1	0	0	1	0
APOL1	O14791	True	False	0	0	0	0	1	0	0	1	0
APOL6	Q9BWW8	True	False	0	0	0	0	0	0	1	0	0
APOLD1	Q96LR9	True	False	0	0	1	0	0	0	0	0	0
APOM	O95445	True	False	0	0	0	0	1	0	0	1	0
APP	P05067	True	False	0	0	0	1	0	0	0	1	0
AQP1	P29972	True	False	0	0	1	0	0	0	0	1	1
AQP10	Q96PS8	True	False	0	0	1	0	0	0	0	1	1
AQP11	Q8NBQ7	True	False	0	0	1	0	0	0	0	0	1
AQP12B	A6NM10	True	False	0	0	1	0	0	0	0	0	1
AQP2	P41181	True	False	0	0	1	0	0	0	0	1	1
AQP3	Q92482	True	False	0	0	1	0	0	0	0	1	1
AQP4	P55087	True	False	0	0	1	0	0	0	0	1	1
AQP5	P55064	True	False	0	0	1	0	0	0	0	1	1
AQP7	O14520	True	False	0	0	1	0	0	0	0	0	1
AQP7B	A0A075B734	True	False	0	0	1	0	0	0	0	0	1
AQP8	O94778	True	False	0	0	1	0	0	0	0	1	1
AQP9	O43315	True	False	0	0	1	0	0	0	0	0	1
ARC	Q7LC44	True	False	0	0	0	0	0	0	1	0	0
AREG	P15514	True	False	0	0	0	1	0	0	0	1	0
ARF5	P84085	True	False	0	0	0	0	0	1	0	0	0
ARHGAP18	Q8N392	True	False	0	0	0	0	0	0	1	0	0
ARID3A	Q99856	True	False	0	0	0	0	0	0	1	0	0
ARL15	Q9NXU5	True	False	0	0	0	0	0	0	1	0	0
ARMH1	Q6PIY5	True	False	0	0	0	0	0	0	1	0	0
ARMH2	H3BNL8	True	False	0	0	0	0	0	0	1	0	0
ARRDC1	Q8N5I2	True	False	0	0	0	0	0	0	1	0	0
ARRDC4	Q8NCT1	True	False	0	0	0	0	0	0	1	0	0
ARRDC5	A6NEK1	True	False	0	0	0	0	0	0	1	0	0
ARSA	P15289	True	False	0	0	0	0	1	0	0	1	0
ARSD	P51689	True	False	0	0	0	0	1	0	0	1	0
ARSF	P54793	True	False	0	0	0	0	1	0	0	1	0
ARSH	Q5FYA8	True	False	0	0	1	0	0	0	0	0	1
ARSJ	Q5FYB0	True	False	0	0	0	0	1	0	0	1	0
ART1	P52961	True	False	1	0	0	0	0	0	0	1	0
ART3	Q13508	True	False	1	0	0	0	0	0	0	1	0
ART4	Q93070	True	False	1	0	0	0	0	0	0	1	0
ART5	Q96L15	True	False	0	0	0	0	1	0	0	1	0
ASAH2	Q9NR71	True	False	0	0	0	1	0	0	0	1	1
ASAH2B	P0C7U1	True	False	0	0	0	0	0	0	1	0	0
ASGR1	P07306	True	False	0	0	0	1	0	0	0	1	1
ASGR2	P07307	True	False	0	0	0	1	0	0	0	1	1
ASIC1	P78348	True	False	0	0	1	0	0	0	0	1	1
ASIC2	Q16515	True	False	0	0	1	0	0	0	0	1	1
ASIC3	Q9UHC3	True	False	0	0	1	0	0	0	0	1	1
ASIC4	Q96FT7	True	False	0	0	1	0	0	0	0	1	1
ASIC5	Q9NY37	True	False	0	0	1	0	0	0	0	1	1
ASIP	P42127	True	False	0	0	0	0	1	0	0	1	0
ASPH	Q12797	True	False	0	0	0	1	0	0	0	1	1
ASPHD1	Q5U4P2	True	False	0	0	0	1	0	0	0	0	0
ASPHD2	Q6ICH7	True	False	0	0	0	1	0	0	0	1	0
ASTL	Q6HA08	True	False	0	0	0	0	1	0	0	0	0
ASTN1	O14525	True	False	0	0	1	0	0	0	0	1	0
ASTN2	O75129	True	False	0	0	1	0	0	0	0	1	0
ATP10D	Q9P241	True	False	0	0	1	0	0	0	0	0	1
ATP11C	Q8NB49	True	False	0	0	1	0	0	0	0	0	1
ATP12A	P54707	True	False	0	0	1	0	0	0	0	0	1
ATP1A1	P05023	True	False	0	0	1	0	0	0	0	0	1
ATP1A2	P50993	True	False	0	0	1	0	0	0	0	0	1
ATP1A3	P13637	True	False	0	0	1	0	0	0	0	0	1
ATP1A4	Q13733	True	False	0	0	1	0	0	0	0	0	1
ATP1B1	P05026	True	False	0	0	0	1	0	0	0	1	1
ATP1B2	P14415	True	False	0	0	0	1	0	0	0	1	1
ATP1B3	P54709	True	False	0	0	0	1	0	0	0	1	1
ATP2B1	P20020	True	False	0	0	1	0	0	0	0	0	1
ATP2B3	Q16720	True	False	0	0	1	0	0	0	0	0	1
ATP2B4	P23634	True	False	0	0	1	0	0	0	0	0	1
ATP2C2	O75185	True	False	0	0	1	0	0	0	0	0	1
ATP4A	P20648	True	False	0	0	1	0	0	0	0	0	1
ATP4B	P51164	True	False	0	0	0	1	0	0	0	1	1
ATP5F1A	P25705	True	False	0	0	0	0	0	0	1	1	0
ATP5F1B	P06576	True	True	0	0	0	0	0	0	1	1	0
ATP5IF1	Q9UII2	True	False	0	0	0	0	0	0	1	0	0
ATP5PF	P18859	True	False	0	0	0	0	0	0	1	0	0
ATP6AP1	Q15904	True	False	0	0	0	1	0	0	0	1	0
ATP6AP2	O75787	True	False	0	0	0	1	0	0	0	0	0
ATP6V0A2	Q9Y487	True	False	0	0	1	0	0	0	0	1	1
ATP6V0D2	Q8N8Y2	True	False	0	0	0	0	0	0	1	0	0
ATP6V0E2	Q8NHE4	True	False	0	0	1	0	0	0	0	1	1
ATP6V1A	P38606	True	False	0	0	0	0	0	0	1	0	0
ATP7A	Q04656	True	False	0	0	1	0	0	0	0	1	1
ATP8B4	Q8TF62	True	False	0	0	1	0	0	0	0	0	1
ATRAID	Q6UW56	True	False	0	0	0	1	0	0	0	1	0
ATRN	O75882	True	False	0	0	0	1	0	0	0	1	1
ATRNL1	Q5VV63	True	False	0	0	0	1	0	0	0	1	0
AVPR1A	P37288	True	True	0	1	0	0	0	0	0	1	1
AVPR1B	P47901	True	False	0	1	0	0	0	0	0	1	1
AVPR2	P30518	True	False	0	1	0	0	0	0	0	1	1
AXL	P30530	True	False	0	0	0	1	0	0	0	1	0
AZGP1	P25311	True	False	0	0	0	0	1	0	0	1	0
AZU1	P20160	True	False	0	0	0	0	1	0	0	1	0
B2M	P61769	True	True	0	0	0	0	1	0	0	1	0
B4GALNT2	Q8NHY0	True	False	0	0	0	1	0	0	0	0	1
B4GALT1	P15291	True	True	0	0	0	1	0	0	0	1	1
BACE1	P56817	True	False	0	0	0	1	0	0	0	1	0
BACE2	Q9Y5Z0	True	False	0	0	0	1	0	0	0	1	0
BAG6	P46379	True	False	0	0	0	0	0	0	1	0	0
BAIAP3	O94812	True	False	0	0	0	0	0	0	1	0	0
BAMBI	Q13145	True	False	0	0	0	1	0	0	0	1	0
BCAM	P50895	True	False	0	0	0	1	0	0	0	1	0
BCAN	Q96GW7	True	False	1	0	0	0	0	0	0	1	0
BDKRB1	P46663	True	True	0	1	0	0	0	0	0	1	1
BDKRB2	P30411	True	False	0	1	0	0	0	0	0	1	1
BEST2	Q8NFU1	True	False	0	0	1	0	0	0	0	0	1
BEST4	Q8NFU0	True	False	0	0	1	0	0	0	0	0	1
BGN	P21810	True	False	0	0	0	0	1	0	0	1	0
BLCAP	P62952	True	False	0	0	1	0	0	0	0	0	0
BLVRB	P30043	True	False	0	0	0	0	0	0	1	0	0
BMP1	P13497	True	False	0	0	0	0	1	0	0	1	0
BMP10	O95393	True	False	0	0	0	0	1	0	0	1	0
BMP8A	Q7Z5Y6	True	False	0	0	0	0	1	0	0	1	0
BMPER	Q8N8U9	True	False	0	0	0	0	1	0	0	1	0
BMPR1A	P36894	True	False	0	0	0	1	0	0	0	1	0
BMPR1B	O00238	True	False	0	0	0	1	0	0	0	0	1
BMPR2	Q13873	True	False	0	0	0	1	0	0	0	1	0
BOC	Q9BWV1	True	False	0	0	0	1	0	0	0	1	0
BPI	P17213	True	False	0	0	0	0	1	0	0	1	0
BPIFA1	Q9NP55	True	False	0	0	0	0	1	0	0	0	0
BPIFA3	Q9BQP9	True	False	0	0	0	0	1	0	0	1	0
BPIFB2	Q8N4F0	True	False	0	0	0	0	1	0	0	1	0
BPIFB6	Q8NFQ5	True	False	0	0	0	0	1	0	0	1	0
BPIFC	Q8NFQ6	True	False	0	0	0	0	1	0	0	1	0
BRI3	O95415	True	False	0	0	1	0	0	0	0	0	0
BRICD5	Q6PL45	True	False	0	0	1	0	0	0	0	1	1
BRINP2	Q9C0B6	True	False	0	0	0	0	1	0	0	1	0
BRS3	P32247	True	False	0	1	0	0	0	0	0	1	1
BSG	P35613	True	False	0	0	0	1	0	0	0	1	0
BSND	Q8WZ55	True	False	0	0	1	0	0	0	0	0	1
BSPH1	Q075Z2	True	False	0	0	0	0	1	0	0	1	0
BST1	Q10588	True	False	1	0	0	0	0	0	0	1	0
BST2	Q10589	True	True	1	0	0	0	0	0	0	1	1
BTBD17	A6NE02	True	False	0	0	0	0	1	0	0	1	0
BTC	P35070	True	False	0	0	0	1	0	0	0	1	0
BTD	P43251	True	False	0	0	0	0	1	0	0	1	0
BTLA	Q7Z6A9	True	False	0	0	0	1	0	0	0	1	0
BTN1A1	Q13410	True	False	0	0	0	1	0	0	0	1	0
BTN2A1	Q7KYR7	True	False	0	0	0	1	0	0	0	1	0
BTN2A2	Q8WVV5	True	False	0	0	0	1	0	0	0	1	0
BTN3A1	O00481	True	False	0	0	0	1	0	0	0	1	0
BTN3A2	P78410	True	False	0	0	0	1	0	0	0	1	0
BTN3A3	O00478	True	False	0	0	0	1	0	0	0	1	0
BTNL2	Q9UIR0	True	False	0	0	0	1	0	0	0	1	0
BTNL3	Q6UXE8	True	False	0	0	0	1	0	0	0	0	0
BTNL8	Q6UX41	True	False	0	0	0	1	0	0	0	1	0
BTNL9	Q6UXG8	True	False	0	0	0	1	0	0	0	1	0
C11orf24	Q96F05	True	False	0	0	0	1	0	0	0	1	0
C14orf180	Q8N912	True	False	0	0	0	1	0	0	0	0	1
C16orf54	Q6UWD8	True	False	0	0	0	1	0	0	0	1	1
C16orf89	Q6UX73	True	False	0	0	0	0	1	0	0	0	0
C17orf58	Q2M2W7	True	False	0	0	0	0	1	0	0	0	0
C17orf67	Q0P5P2	True	False	0	0	0	0	1	0	0	0	0
C17orf78	Q8N4C9	True	False	0	0	0	1	0	0	0	0	0
C17orf99	Q6UX52	True	False	0	0	0	0	1	0	0	1	0
C18orf54	Q8IYD9	True	False	0	0	0	0	1	0	0	0	0
C19orf38	A8MVS5	True	False	0	0	0	1	0	0	0	1	0
C1QB	P02746	True	False	0	0	0	0	1	0	0	0	0
C1QBP	Q07021	True	False	0	0	0	0	0	0	1	0	0
C1QL1	O75973	True	False	0	0	0	0	1	0	0	0	0
C1QL2	Q7Z5L3	True	False	0	0	0	0	1	0	0	0	0
C1QL3	Q5VWW1	True	False	0	0	0	0	1	0	0	0	0
C1QL4	Q86Z23	True	False	0	0	0	0	1	0	0	0	0
C1QTNF1	Q9BXJ1	True	False	0	0	0	0	1	0	0	1	0
C1QTNF12	Q5T7M4	True	False	0	0	0	0	1	0	0	1	0
C1QTNF2	Q9BXJ5	True	False	0	0	0	0	1	0	0	0	0
C1QTNF3	Q9BXJ4	True	False	0	0	0	0	1	0	0	1	0
C1QTNF4	Q9BXJ3	True	False	0	0	0	0	1	0	0	0	0
