gene_symbol	uniprot_acc	papers_found	papers_selected	evidence_grade	tier
ADAMTS3	O15072	258	11	weak	no
ADAMTS5	Q9UNA0	320	14	weak	canonical
ADAMTS6	Q9UKP5	212	8	weak	no
ADAMTS7	Q9UKP4	197	15	weak	no
ADAMTS8	Q9UP79	213	10	weak	low
ADAMTS9	Q9P2N4	251	17	supportive_but_indirect	likely
ADAMTSL3	P82987	197	6	weak	no
ADAMTSL4	Q6UY14	224	10	weak	no
ADAP2	Q9NPF8	175	4	weak	no
ADCY1	Q08828	321	5	weak	canonical
ADCY2	Q08462	285	2	supportive_but_indirect	likely
ADCY3	O60266	246	20	supportive_but_indirect	likely
ADCY4	Q8NFM4	259	7	weak	likely
ADCY5	O95622	252	18	supportive_but_indirect	canonical
ADCY6	O43306	235	18	supportive_but_indirect	canonical
ADCY7	P51828	224	7	supportive_but_indirect	canonical
ADCY8	P40145	231	16	supportive_but_indirect	likely
ADCY9	O60503	257	11	supportive_but_indirect	canonical
ADCYAP1R1	P41586	263	20	direct_multi_method	canonical
ADD2	P35612	215	8	weak	no
ADGRA1	Q86SQ6	137	12	direct_single_method	likely
ADGRA2	Q96PE1	194	21	direct_multi_method	canonical
ADGRA3	Q8IWK6	168	16	direct_multi_method	canonical
ADGRB1	O14514	227	28	direct_multi_method	canonical
ADGRB2	O60241	177	16	direct_multi_method	likely
ADGRB3	O60242	198	25	direct_multi_method	canonical
ADGRD1	Q6QNK2	173	22	direct_multi_method	canonical
ADGRD2	Q7Z7M1	112	5	weak	likely
ADGRE1	Q14246	288	8	direct_single_method	canonical
ADGRE2	Q9UHX3	226	29	direct_multi_method	canonical
ADGRE3	Q9BY15	137	5	direct_multi_method	canonical
ADGRE5	P48960	218	34	direct_multi_method	canonical
ADGRF1	Q5T601	297	19	direct_multi_method	canonical
ADGRF3	Q8IZF5	91	7	weak	likely
ADGRF4	Q8IZF3	133	11	conflicting	low
ADGRF5	Q8IZF2	189	24	direct_multi_method	canonical
ADGRG1	Q9Y653	226	42	direct_multi_method	canonical
ADGRG2	Q8IZP9	199	25	direct_multi_method	likely
ADGRG3	Q86Y34	186	13	direct_multi_method	canonical
ADGRG4	Q8IZF6	125	12	supportive_but_indirect	canonical
ADGRG5	Q8IZF4	140	10	weak	canonical
ADGRG6	Q86SQ4	226	22	direct_multi_method	canonical
ADGRG7	Q96K78	142	8	weak	low
ADGRL1	O94910	271	20	direct_multi_method	canonical
ADGRL2	O95490	291	22	direct_multi_method	canonical
ADGRL3	Q9HAR2	244	19	direct_multi_method	canonical
ADGRL4	Q9HBW9	238	20	direct_multi_method	canonical
ADGRV1	Q8WXG9	240	19	supportive_but_indirect	likely
ADIPOR1	Q96A54	259	28	direct_multi_method	canonical
ADIPOR2	Q86V24	258	31	direct_multi_method	canonical
ADISSP	Q9GZN8	103	2	weak	no
ADM5	C9JUS6	156	1	weak	no
ADORA1	P30542	282	24	direct_single_method	canonical
ADORA2A	P29274	272	39	direct_multi_method	canonical
ADORA2B	P29275	266	29	direct_multi_method	canonical
ADORA3	P0DMS8	254	27	direct_multi_method	canonical
ADRA1A	P35348	252	29	direct_multi_method	canonical
ADRA1B	P35368	247	25	direct_multi_method	canonical
ADRA1D	P25100	339	15	supportive_but_indirect	canonical
ADRA2A	P08913	256	21	direct_multi_method	canonical
ADRA2B	P18089	267	14	direct_multi_method	canonical
ADRA2C	P18825	255	13	direct_single_method	likely
ADRB1	P08588	289	25	direct_multi_method	canonical
ADRB2	P07550	385	7	direct_multi_method	canonical
ADRB3	P13945	241	21	direct_multi_method	canonical
ADTRP	Q96IZ2	142	4	supportive_but_indirect	likely
AEBP1	Q8IUX7	239	9	weak	no
AFAP1L2	Q8N4X5	165	6	weak	no
AGER	Q15109	272	33	direct_multi_method	canonical
AGGF1	Q8N302	188	7	weak	no
AGK	Q53H12	224	2	weak	low
AGMO	Q6ZNB7	192	3	weak	no
AGPAT1	Q99943	268	2	conflicting	low
AGR2	O95994	259	23	direct_single_method	likely
AGR3	Q8TD06	300	1	weak	no
AGRN	O00468	266	25	direct_multi_method	canonical
AGTR1	P30556	292	39	direct_multi_method	canonical
AGTR2	P50052	329	18	direct_single_method	canonical
AGTRAP	Q6RW13	242	13	supportive_but_indirect	low
AHCYL1	O43865	197	10	weak	no
AHNAK	Q09666	261	11	supportive_but_indirect	likely
AHNAK2	Q8IVF2	212	5	direct_single_method	likely
AIFM2	Q9BRQ8	300	21	supportive_but_indirect	no
AIG1	Q9NVV5	183	4	weak	no
AIMP1	Q12904	263	15	weak	low
AJAP1	Q9UKB5	185	15	direct_single_method	canonical
AJM1	C9J069	142	9	weak	no
AK1	P00568	291	4	weak	no
AKAP19	Q9BSF0	134	3	weak	no
AKAP4	Q5JQC9	351	4	weak	low
AKAP7	O43687	198	9	weak	no
AKR1A1	P14550	358	2	weak	no
ALCAM	Q13740	251	38	direct_multi_method	canonical
ALDOC	P09972	276	1	weak	no
ALG10B	Q5I7T1	191	7	weak	no
ALK	Q9UM73	338	6	direct_multi_method	canonical
ALKAL1	Q6UXT8	131	15	weak	no
ALKAL2	Q6UX46	148	15	weak	no
ALOX5AP	P20292	347	4	weak	no
ALPG	P10696	236	18	direct_multi_method	canonical
ALPI	P09923	327	18	direct_single_method	likely
ALPK2	Q86TB3	300	2	weak	no
ALPL	P05186	293	30	direct_multi_method	canonical
ALPP	P05187	373	12	direct_multi_method	canonical
AMBP	P02760	337	3	weak	no
AMFR	Q9UKV5	265	19	direct_multi_method	likely
AMHR2	Q16671	222	32	direct_multi_method	likely
AMIGO1	Q86WK6	252	13	direct_multi_method	likely
AMIGO2	Q86SJ2	247	20	direct_single_method	canonical
AMIGO3	Q86WK7	185	9	direct_single_method	canonical
AMN	Q9BXJ7	250	16	direct_single_method	likely
AMOT	Q4VCS5	248	20	direct_single_method	low
AMOTL2	Q9Y2J4	225	18	weak	no
AMPH	P49418	271	6	weak	no
AMTN	Q6UX39	169	11	weak	no
ANG	P03950	360	7	weak	low
ANGPTL2	Q9UKU9	312	14	weak	low
ANGPTL4	Q9BY76	303	32	weak	low
ANGPTL7	O43827	209	15	weak	no
ANGPTL8	Q6UXH0	189	18	weak	no
ANK2	Q01484	271	12	weak	no
ANK3	Q12955	265	21	weak	no
ANKEF1	Q9NU02	97	1	weak	low
ANKFN1	Q8N957	302	0	weak	no
ANKH	Q9HCJ1	284	10	supportive_but_indirect	canonical
ANKRD13A	Q8IZ07	123	4	weak	no
ANKRD13B	Q86YJ7	91	3	weak	no
ANKRD20A1	Q5TYW2	59	0	weak	no
ANKRD24	Q8TF21	81	2	weak	low
ANKRD26	Q9UPS8	210	8	weak	low
ANKRD30BL	A7E2S9	66	0	weak	no
ANKRD35	Q8N283	94	0	weak	no
ANO1	Q5XXA6	280	40	direct_multi_method	canonical
ANO10	Q9NW15	225	13	weak	low
ANO2	Q9NQ90	197	23	direct_multi_method	likely
ANO3	Q9BYT9	196	8	direct_multi_method	likely
ANO4	Q32M45	155	10	direct_multi_method	likely
ANO5	Q75V66	212	17	direct_multi_method	low
ANO6	Q4KMQ2	263	37	direct_multi_method	canonical
ANO7	Q6IWH7	210	16	direct_multi_method	likely
ANO8	Q9HCE9	144	9	conflicting	low
ANO9	A1A5B4	174	13	conflicting	low
ANOS1	P23352	268	5	supportive_but_indirect	canonical
ANPEP	P15144	285	29	direct_multi_method	canonical
ANTXR1	Q9H6X2	304	27	direct_multi_method	canonical
ANTXR2	P58335	304	20	direct_multi_method	canonical
ANTXRL	A6NF34	61	2	weak	low
ANXA1	P04083	316	23	direct_multi_method	likely
ANXA13	P27216	329	11	direct_single_method	likely
ANXA2	P07355	300	33	direct_multi_method	likely
ANXA2R	Q3ZCQ2	157	14	direct_single_method	likely
ANXA3	P12429	266	16	weak	low
ANXA5	P08758	343	11	supportive_but_indirect	likely
ANXA6	P08133	322	15	direct_single_method	likely
ANXA7	P20073	268	13	weak	no
ANXA8	P13928	192	10	direct_single_method	likely
ANXA8L1	Q5VT79	150	4	weak	no
ANXA9	O76027	186	9	conflicting	low
AOC1	P19801	318	6	weak	low
AOC2	O75106	304	0	weak	likely
AOC3	Q16853	249	26	direct_multi_method	canonical
AOPEP	Q8N6M6	373	0	weak	low
AP2M1	Q96CW1	235	27	weak	no
APBA1	Q02410	243	9	weak	no
APC	P25054	355	1	weak	no
APCDD1	Q8J025	350	10	direct_single_method	canonical
APCDD1L	Q8NCL9	130	1	weak	low
APH1A	Q96BI3	237	16	weak	low
APLNR	P35414	263	29	direct_multi_method	canonical
APLP1	P51693	213	25	supportive_but_indirect	likely
APLP2	Q06481	232	22	direct_multi_method	canonical
APMAP	Q9HDC9	192	17	direct_multi_method	likely
APOBR	Q0VD83	301	1	weak	low
APOD	P05090	292	14	direct_single_method	likely
APOE	P02649	306	25	supportive_but_indirect	low
APOH	P02749	344	5	supportive_but_indirect	canonical
APOL1	O14791	234	19	direct_multi_method	canonical
APOL6	Q9BWW8	173	10	weak	no
APOLD1	Q96LR9	291	2	weak	low
APOM	O95445	237	19	conflicting	no
APP	P05067	372	15	direct_multi_method	canonical
AQP1	P29972	376	23	direct_multi_method	canonical
AQP10	Q96PS8	254	18	direct_single_method	likely
AQP11	Q8NBQ7	211	20	direct_single_method	likely
AQP12A	Q8IXF9	165	5	weak	no
AQP12B	A6NM10	65	0	weak	low
AQP2	P41181	284	34	supportive_but_indirect	likely
AQP3	Q92482	312	17	direct_single_method	canonical
AQP4	P55087	315	34	direct_multi_method	canonical
AQP5	P55064	294	28	direct_multi_method	canonical
AQP6	Q13520	301	13	weak	low
AQP7	O14520	271	27	supportive_but_indirect	canonical
AQP7B	A0A075B734	194	2	weak	low
AQP8	O94778	247	26	direct_multi_method	likely
AQP9	O43315	291	27	supportive_but_indirect	canonical
ARAP1	Q96P48	205	7	weak	no
ARC	Q7LC44	332	6	weak	no
AREG	P15514	340	25	supportive_but_indirect	canonical
ARF5	P84085	232	16	weak	no
ARHGAP18	Q8N392	198	12	weak	no
ARHGAP45	Q92619	318	2	weak	no
ARHGEF18	Q6ZSZ5	216	16	weak	no
ARID3A	Q99856	367	4	weak	no
ARK2C	Q6ZSG1	112	0	weak	no
ARL13A	Q5H913	118	11	weak	no
ARL15	Q9NXU5	156	10	weak	no
ARL6IP5	O75915	221	11	weak	low
ARMCX5	Q6P1M9	88	0	weak	no
ARMH1	Q6PIY5	297	0	weak	low
ARMH2	H3BNL8	15	0	weak	low
ARMH4	Q86TY3	187	4	direct_single_method	canonical
ARRDC1	Q8N5I2	204	12	weak	no
ARRDC4	Q8NCT1	167	10	weak	no
ARRDC5	A6NEK1	70	4	weak	no
ARSB	P15848	316	3	weak	low
ARSD	P51689	323	1	weak	no
ARSF	P54793	281	1	weak	low
ARSH	Q5FYA8	270	0	weak	low
ARSJ	Q5FYB0	236	1	weak	no
ART1	P52961	231	16	direct_multi_method	canonical
ART3	Q13508	226	9	direct_multi_method	likely
ART4	Q93070	336	1	supportive_but_indirect	likely
ART5	Q96L15	152	4	weak	no
ASAH2	Q9NR71	209	17	direct_single_method	canonical
ASAH2B	P0C7U1	93	1	weak	low
ASGR1	P07306	266	30	direct_multi_method	canonical
ASGR2	P07307	227	25	direct_multi_method	canonical
ASIC1	P78348	246	42	direct_multi_method	canonical
ASIC2	Q16515	263	32	direct_multi_method	canonical
ASIC3	Q9UHC3	244	33	direct_multi_method	canonical
ASIC4	Q96FT7	188	12	conflicting	low
ASIC5	Q9NY37	365	10	direct_single_method	likely
ASIP	P42127	355	2	weak	no
ASPH	Q12797	285	14	direct_multi_method	likely
ASPHD1	Q5U4P2	129	0	weak	no
ASPHD2	Q6ICH7	95	0	weak	no
ASTL	Q6HA08	179	17	direct_multi_method	canonical
ASTN1	O14525	187	7	direct_multi_method	likely
ASTN2	O75129	215	9	weak	low
ATAD1	Q8NBU5	232	12	weak	no
ATG9A	Q7Z3C6	243	32	direct_multi_method	low
ATP10D	Q9P241	139	8	direct_single_method	canonical
ATP11A	P98196	181	25	direct_multi_method	canonical
ATP11B	Q9Y2G3	151	17	weak	low
ATP11C	Q8NB49	175	34	direct_multi_method	canonical
ATP12A	P54707	335	19	direct_multi_method	canonical
ATP13A1	Q9HD20	146	9	weak	no
ATP13A3	Q9H7F0	181	8	weak	no
ATP13A5	Q4VNC0	107	4	weak	no
ATP1A1	P05023	275	33	direct_multi_method	canonical
ATP1A2	P50993	261	30	direct_multi_method	canonical
ATP1A3	P13637	281	17	direct_multi_method	canonical
ATP1A4	Q13733	170	18	direct_multi_method	likely
ATP1B1	P05026	254	21	direct_multi_method	canonical
ATP1B2	P14415	202	29	direct_multi_method	likely
ATP1B3	P54709	252	16	direct_single_method	canonical
ATP1B4	Q9UN42	151	5	weak	no
ATP2B1	P20020	236	32	direct_multi_method	canonical
ATP2B2	Q01814	233	29	direct_multi_method	likely
ATP2B3	Q16720	244	20	direct_multi_method	canonical
ATP2B4	P23634	238	39	direct_multi_method	canonical
ATP2C2	O75185	173	15	supportive_but_indirect	likely
ATP4A	P20648	219	25	supportive_but_indirect	likely
ATP4B	P51164	202	21	direct_single_method	likely
ATP5F1A	P25705	321	10	weak	low
ATP5F1B	P06576	267	10	direct_multi_method	likely
ATP5IF1	Q9UII2	359	0	weak	low
ATP5PF	P18859	341	2	weak	low
ATP6AP1	Q15904	348	8	weak	low
ATP6AP2	O75787	323	29	direct_multi_method	likely
ATP6V0A2	Q9Y487	302	16	direct_multi_method	likely
ATP6V0A4	Q9HBG4	346	11	weak	low
ATP6V0D2	Q8N8Y2	259	11	supportive_but_indirect	likely
ATP6V0E2	Q8NHE4	142	4	weak	low
ATP6V1A	P38606	201	27	weak	no
ATP6V1B1	P15313	204	23	supportive_but_indirect	low
ATP6V1B2	P21281	235	22	weak	no
ATP6V1E1	P36543	278	13	weak	no
ATP7A	Q04656	316	17	direct_single_method	likely
ATP7B	P35670	310	19	weak	no
ATP8A1	Q9Y2Q0	202	16	conflicting	low
ATP8A2	Q9NTI2	370	4	weak	no
ATP8B1	O43520	251	19	supportive_but_indirect	likely
ATP8B2	P98198	142	16	supportive_but_indirect	low
ATP8B4	Q8TF62	156	4	supportive_but_indirect	low
ATRAID	Q6UW56	278	8	supportive_but_indirect	likely
ATRN	O75882	244	12	direct_multi_method	canonical
ATRNL1	Q5VV63	338	3	supportive_but_indirect	canonical
AURKA	O14965	314	11	weak	no
AVEN	Q9NQS1	219	0	weak	no
AVPI1	Q5T686	119	2	weak	no
AVPR1A	P37288	251	23	direct_single_method	canonical
AVPR1B	P47901	211	21	direct_multi_method	canonical
AVPR2	P30518	288	19	direct_multi_method	canonical
AXL	P30530	317	42	direct_multi_method	canonical
AZGP1	P25311	295	18	weak	no
AZU1	P20160	324	19	weak	low
B2M	P61769	339	30	direct_multi_method	canonical
B4GALNT2	Q8NHY0	324	2	weak	no
B4GALT1	P15291	276	17	direct_single_method	likely
BACE1	P56817	301	21	direct_multi_method	likely
BACE2	Q9Y5Z0	253	22	direct_multi_method	canonical
BAG6	P46379	291	2	weak	no
BAIAP2	Q9UQB8	233	19	weak	no
BAIAP3	O94812	176	3	weak	no
BAMBI	Q13145	308	20	direct_single_method	canonical
BCAM	P50895	335	14	direct_multi_method	canonical
BCAN	Q96GW7	246	25	direct_multi_method	canonical
BDKRB1	P46663	229	27	direct_multi_method	likely
BDKRB2	P30411	267	28	direct_multi_method	canonical
BEST1	O76090	375	8	direct_single_method	likely
BEST2	Q8NFU1	149	18	direct_multi_method	likely
BEST3	Q8N1M1	146	12	direct_multi_method	likely
BEST4	Q8NFU0	171	19	direct_multi_method	likely
BGN	P21810	229	18	supportive_but_indirect	canonical
BIN2	Q9UBW5	241	4	weak	no
BLTP1	Q2LD37	219	4	weak	no
BLTP2	Q14667	225	9	weak	no
BLVRB	P30043	228	5	weak	no
BMP1	P13497	330	8	supportive_but_indirect	low
BMP10	O95393	232	20	weak	no
BMP8A	Q7Z5Y6	202	3	supportive_but_indirect	no
BMPER	Q8N8U9	298	5	weak	no
BMPR1A	P36894	256	28	direct_multi_method	canonical
BMPR1B	O00238	261	27	direct_multi_method	canonical
BMPR2	Q13873	289	33	direct_multi_method	canonical
BMX	P51813	249	5	weak	no
BOC	Q9BWV1	300	24	direct_single_method	canonical
BPI	P17213	330	1	weak	no
BPIFA1	Q9NP55	237	25	direct_multi_method	canonical
BPIFA3	Q9BQP9	57	5	weak	no
BPIFB2	Q8N4F0	154	10	weak	no
BPIFB6	Q8NFQ5	70	3	weak	no
BPIFC	Q8NFQ6	84	1	weak	no
BRI3	O95415	309	0	weak	low
BRI3BP	Q8WY22	167	0	weak	no
BRICD5	Q6PL45	54	0	weak	low
BRINP2	Q9C0B6	125	0	weak	no
BRS3	P32247	243	12	supportive_but_indirect	canonical
BSG	P35613	265	47	direct_multi_method	canonical
BSND	Q8WZ55	248	13	direct_single_method	canonical
BSPH1	Q075Z2	175	7	supportive_but_indirect	likely
BST1	Q10588	250	29	direct_multi_method	canonical
BST2	Q10589	221	39	direct_multi_method	canonical
BTBD17	A6NE02	88	0	weak	low
BTC	P35070	299	18	supportive_but_indirect	canonical
BTD	P43251	251	4	weak	no
BTLA	Q7Z6A9	271	33	direct_multi_method	canonical
BTN1A1	Q13410	339	15	direct_multi_method	canonical
BTN2A1	Q7KYR7	199	30	direct_multi_method	canonical
BTN2A2	Q8WVV5	184	18	direct_multi_method	canonical
BTN3A1	O00481	204	33	direct_multi_method	canonical
BTN3A2	P78410	201	25	direct_multi_method	canonical
BTN3A3	O00478	224	22	direct_multi_method	canonical
BTNL2	Q9UIR0	262	4	supportive_but_indirect	likely
BTNL3	Q6UXE8	146	14	direct_multi_method	likely
BTNL8	Q6UX41	140	14	direct_multi_method	likely
BTNL9	Q6UXG8	184	8	weak	likely
C11orf24	Q96F05	64	1	weak	no
C11orf87	Q6NUJ2	74	1	weak	low
C14orf180	Q8N912	65	1	weak	low
C16orf54	Q6UWD8	202	1	direct_single_method	likely
C16orf89	Q6UX73	104	2	weak	no
C17orf58	Q2M2W7	56	0	weak	low
C17orf67	Q0P5P2	63	0	weak	uncertain
C17orf78	Q8N4C9	65	0	weak	uncertain
C17orf99	Q6UX52	138	4	weak	no
C18orf54	Q8IYD9	92	0	weak	uncertain
C19orf18	Q8NEA5	34	0	weak	low
C19orf38	A8MVS5	48	0	weak	low
C1QB	P02746	317	15	weak	low
C1QBP	Q07021	253	25	direct_multi_method	likely
C1QL1	O75973	286	13	weak	no
C1QL2	Q7Z5L3	151	8	weak	low
C1QL3	Q5VWW1	188	13	direct_single_method	canonical
C1QL4	Q86Z23	101	5	weak	no
C1QTNF1	Q9BXJ1	294	10	conflicting	low
C1QTNF12	Q5T7M4	169	6	weak	no
C1QTNF2	Q9BXJ5	146	3	weak	no
C1QTNF3	Q9BXJ4	235	11	weak	no
C1QTNF4	Q9BXJ3	146	8	weak	low
C1QTNF5	Q9BXJ0	264	11	supportive_but_indirect	likely
C1QTNF6	Q9BXI9	221	12	weak	no
C1QTNF7	Q9BXJ2	142	3	weak	no
C1QTNF8	P60827	98	7	weak	no
C1QTNF9	P0C862	178	12	weak	no
C1QTNF9B	B2RNN3	139	2	weak	no
C1RL	Q9NZP8	216	5	weak	no
C1orf115	Q9H7X2	105	2	weak	no
C1orf116	Q9BW04	182	2	weak	no
C1orf159	Q96HA4	64	1	weak	low
C1orf185	Q5T7R7	33	0	weak	uncertain
C1orf210	Q8IVY1	290	0	weak	low
C1orf54	Q8WWF1	97	1	weak	no
C2CD2L	O14523	126	9	weak	no
C2CD4A	Q8NCU7	138	2	weak	no
C2CD4B	A6NLJ0	153	2	weak	no
C2CD5	Q86YS7	117	5	weak	no
C2orf74	A8MZ97	73	2	weak	no
C2orf92	A0A1B0GVN3	135	0	weak	low
C3	P01024	320	24	direct_multi_method	canonical
C3AR1	Q16581	257	49	direct_multi_method	canonical
C3orf18	Q9UK00	254	1	supportive_but_indirect	likely
C3orf52	Q5BVD1	98	2	supportive_but_indirect	likely
C3orf80	F5H4A9	277	0	weak	uncertain
C4A	P0C0L4	343	9	weak	no
C4B_2	P0C0L5	300	2	weak	low
C5	P01031	306	29	weak	no
C5AR1	P21730	261	48	direct_multi_method	canonical
C5AR2	Q9P296	219	24	direct_multi_method	canonical
C5orf15	Q8NC54	94	2	weak	low
C5orf46	Q6UWT4	116	2	weak	no
C6	P13671	349	0	weak	no
C6orf120	Q7Z4R8	89	3	weak	no
C6orf58	Q6P5S2	139	3	weak	low
C6orf89	Q6UWU4	272	4	weak	no
C7	P10643	350	0	weak	no
C8A	P07357	288	8	weak	no
C8B	P07358	264	10	supportive_but_indirect	likely
C8G	P07360	234	10	weak	low
C9	P02748	335	5	supportive_but_indirect	likely
C9orf85	Q96MD7	54	0	weak	no
CA10	Q9NS85	270	4	weak	low
CA11	O75493	224	5	weak	low
CA12	O43570	260	30	direct_multi_method	canonical
CA14	Q9ULX7	203	11	supportive_but_indirect	canonical
CA4	P22748	301	13	direct_single_method	canonical
CA9	Q16790	350	24	direct_multi_method	canonical
CABP7	Q86V35	196	3	weak	no
CABS1	Q96KC9	151	5	direct_single_method	likely
CACFD1	Q9UGQ2	335	5	supportive_but_indirect	likely
CACHD1	Q5VU97	158	7	supportive_but_indirect	likely
CACNA1A	O00555	323	12	direct_multi_method	canonical
CACNA1B	Q00975	278	20	direct_multi_method	canonical
CACNA1C	Q13936	324	30	direct_multi_method	canonical
CACNA1D	Q01668	249	42	direct_multi_method	canonical
CACNA1E	Q15878	278	19	direct_multi_method	canonical
CACNA1F	O60840	251	17	direct_multi_method	likely
CACNA1G	O43497	255	28	direct_multi_method	canonical
CACNA1H	O95180	264	38	direct_multi_method	canonical
CACNA1I	Q9P0X4	229	26	direct_multi_method	canonical
CACNA1S	Q13698	270	29	direct_multi_method	likely
CACNA2D1	P54289	234	31	direct_multi_method	canonical
CACNA2D2	Q9NY47	215	25	supportive_but_indirect	canonical
CACNA2D3	Q8IZS8	214	12	direct_multi_method	canonical
CACNA2D4	Q7Z3S7	186	11	direct_multi_method	likely
CACNG1	Q06432	159	9	supportive_but_indirect	likely
CACNG2	Q9Y698	208	23	direct_multi_method	canonical
CACNG3	O60359	188	6	weak	likely
CACNG4	Q9UBN1	199	13	weak	likely
CACNG5	Q9UF02	160	8	direct_single_method	likely
CACNG6	Q9BXT2	170	9	supportive_but_indirect	likely
CACNG7	P62955	153	9	supportive_but_indirect	likely
CACNG8	Q8WXS5	189	18	supportive_but_indirect	canonical
CADM1	Q9BY67	255	24	direct_multi_method	canonical
CADM2	Q8N3J6	217	16	direct_multi_method	canonical
