gene_symbol	group	tm_helix_count	protein_length	ecd_length_residues	has_signal_peptide	n_term_extracellular	c_term_extracellular	mouse_has_one2one	cyno_has_one2one	schweke_homomer	alt_iso_diff_topo	has_ec_surface_bind_site	has_concerning_paralog	cyno_ortholog_pct_id	mouse_ortholog_pct_id	homomer_stoichiometry	top_paralog_symbol	top_paralog_ecd_pct	n_ec_surface_bind_sites
BTN3A2	canonical	1	334	221	1	1	0	0	1	1	0	1	1	91.0		2.0	BTN3A3	95.9	2.0
BTN3A3	canonical	1	584	221	1	1	0	0	1	1	0	1	1	87.2		2.0	BTN3A2	95.9	2.0
C1QL3	canonical	0	255	240	1	1	1	1	1	1	0	0	1	99.2	99.6	3.0	C1QL2	70.3	
C3	canonical	0	1663	1641	1	1	1	1	0	0	0	0	0		77.0		C4B	31.0	
C3AR1	canonical	7	482	233	0	1	0	1	1	0	0	0	0	88.8	64.7		FPR3	15.5	
C5AR1	canonical	7	350	80	0	1	0	1	1	1	0	0	0	90.0	65.7	2.0	C5AR2	27.4	
C5AR2	canonical	7	337	95	0	1	0	1	1	0	0	0	0	90.5	61.7		C5AR1	31.6	
CA12	canonical	1	354	279	1	1	0	1	1	0	0	1	1	96.0	81.9		CA14	46.6	1.0
CA14	canonical	1	337	278	1	1	0	1	1	0	0	1	1	96.4	84.0		CA12	46.2	1.0
CA4	canonical	0	312	293	1	1	1	1	0	0	0	1	0		55.8		CA2	32.4	2.0
CA9	canonical	1	459	377	1	1	0	1	1	0	0	0	0	92.2	69.7		CA14	31.3	
CACNA1A	canonical	24	2506	390	0	0	0	1	1	0	0	0	1	64.8	87.0		CACNA1B	72.5	
CACNA1B	canonical	24	2339	393	0	0	0	1	0	0	0	0	1		92.0		CACNA1A	74.6	
CACNA1C	canonical	24	2221	418	0	0	0	1	0	0	1	0	1		95.4		CACNA1D	69.5	
CACNA1D	canonical	24	2161	429	0	0	0	1	1	0	0	0	1	98.9	96.5		CACNA1F	75.3	
CACNA1E	canonical	24	2313	397	0	0	0	1	1	0	0	0	1	99.0	94.9		CACNA1B	65.2	
CACNA1G	canonical	24	2377	409	0	0	0	1	0	0	1	0	1		94.7		CACNA1H	69.1	
CACNA1H	canonical	24	2353	437	0	0	0	1	0	0	0	0	1		84.8		CACNA1I	71.5	
CACNA1I	canonical	24	2223	456	0	0	0	1	1	0	0	0	1	65.8	91.6		CACNA1H	74.6	
CACNA2D1	canonical	1	1103	1049	1	1	0	1	1	0	0	0	1	99.4	95.8		CACNA2D2	53.9	
CACNA2D2	canonical	0	1150	1090	1	1	1	1	1	0	0	0	1	98.7	96.9		CACNA2D1	55.0	
CACNA2D3	canonical	0	1091	1058	1	1	1	1	1	0	0	0	1	99.7	98.1		CACNA2D4	59.8	
CACNG2	canonical	4	323	95	0	0	0	1	1	0	0	0	1	100.0	98.8		CACNG3	85.3	
CACNG8	canonical	4	425	109	0	0	0	1	0	0	0	0	1		94.4		CACNG4	64.2	
CADM1	canonical	1	442	331	1	1	0	1	1	1	1	1	1	99.6	98.7	2.0	CADM2	40.7	3.0
CADM2	canonical	1	435	344	1	1	0	1	1	0	0	1	1	95.8	96.8		CADM3	44.8	2.0
CADM4	canonical	1	388	299	1	1	0	1	1	0	0	1	0	100.0	98.5		CADM1	37.2	1.0
CALCR	canonical	7	474	154	1	1	0	1	0	0	1	0	1		77.8		CALCRL	57.1	
CALCRL	canonical	7	461	154	1	1	0	1	1	0	0	0	1	99.3	89.8		CALCR	57.1	
CALHM1	canonical	4	346	79	0	0	0	1	1	1	0	0	1	97.4	92.2	8.0	CALHM3	49.4	
CALHM2	canonical	4	323	82	0	0	0	1	1	0	1	0	1	89.2	92.3		CALHM3	42.7	
CASR	canonical	7	1078	644	1	1	0	1	1	0	0	1	0	98.5	93.8		TAS1R1	31.8	1.0
CAV1	canonical	0	178	0	0	0	0	1	1	1	0	0	0	96.1	94.9	2.0			
CCDC25	canonical	0	208	0	0	0	0	1	1	0	0	0	0	99.5	95.2				
CCKAR	canonical	7	428	99	0	1	0	1	1	0	0	0	0	97.7	90.7		CCKBR	32.4	
CCKBR	canonical	7	447	108	0	1	0	1	0	0	0	0	0		89.3		GALR3	21.3	
CCR1	canonical	7	355	92	0	1	0	0	1	0	0	1	0	88.5			CCR2	36.3	1.0
CCR10	canonical	7	362	108	0	1	0	1	1	0	0	0	0	98.3	88.1		CCR7	29.6	
CCR2	canonical	7	374	102	0	1	0	1	1	0	0	0	1	97.2	79.7		CCR5	46.1	
CCR3	canonical	7	355	99	0	1	0	1	1	0	0	1	0	92.1	68.7		CCR1	38.4	1.0
CCR4	canonical	7	360	100	0	1	0	1	1	0	0	0	0	98.6	86.7		CCR5	32.0	
CCR5	canonical	7	352	95	0	1	0	1	1	0	0	1	1	97.7	82.4		CCR2	47.1	1.0
CCR6	canonical	7	374	117	0	1	0	1	1	0	0	0	0	94.9	73.3		CXCR6	25.6	
CCR7	canonical	7	378	79	1	1	0	1	1	0	0	0	0	98.9	87.0		CCR10	25.0	
CCR8	canonical	7	355	87	0	1	0	1	1	0	1	0	0	94.1	70.4		CCR4	30.0	
CCR9	canonical	7	369	98	0	1	0	1	1	0	0	0	0	98.6	85.6		CXCR6	22.4	
CCRL2	canonical	7	344	99	0	1	0	0	1	0	0	0	0	91.9			CCR2	31.4	
CD101	canonical	1	1021	934	1	1	0	1	1	0	0	1	0	95.1	70.4		IGSF3	33.8	4.0
CD109	canonical	0	1445	1424	1	1	1	1	1	0	0	1	0	95.8	72.1		CPAMD8	26.9	7.0
CD14	canonical	0	375	356	1	1	1	1	1	0	0	1	0	95.2	65.3				2.0
CD151	canonical	4	253	123	0	0	0	1	1	0	0	1	1	91.7	93.7		TSPAN11	60.2	1.0
CD160	canonical	0	181	158	1	1	1	1	1	0	0	1	0	89.5	66.3				2.0
CD163	canonical	1	1156	1005	1	1	0	1	1	0	0	1	1	96.0	72.9		CD163L1	44.7	3.0
CD164	canonical	1	197	143	1	1	0	1	1	0	1	0	0	83.8	61.9		TMEM123	30.8	
CD177	canonical	0	437	416	1	1	1	0	0	0	0	1	0				TEX101	22.1	2.0
CD1B	canonical	1	333	285	1	1	0	0	0	0	0	0	1				CD1C	61.8	
CD1C	canonical	1	333	283	1	1	0	0	1	0	0	1	1	90.7			CD1B	61.8	1.0
CD1D	canonical	1	335	282	1	1	0	0	1	0	0	1	1	93.7			CD1E	57.6	2.0
CD2	canonical	1	351	191	1	1	0	1	1	0	0	1	0	94.0	51.9		LY9	14.4	1.0
CD200	canonical	1	278	206	1	1	0	1	1	1	0	1	0	94.8	76.6	2.0	SMAGP	7.3	2.0
CD200R1	canonical	1	348	242	1	1	0	0	1	0	1	1	1	90.5			CD200R1L	73.6	1.0
CD209	canonical	1	404	346	0	0	1	0	1	0	1	0	1	82.9			CLEC4M	83.5	
CD22	canonical	1	847	668	1	1	0	1	1	0	0	1	0	78.2	61.3		TMEM25	15.4	4.0
CD226	canonical	1	336	232	1	1	0	1	1	1	0	1	0	93.2	52.4	2.0	SMAGP	12.9	3.0
CD24	canonical	0	80	54	1	1	1	1	0	0	0	0	0		57.5				
CD244	canonical	1	370	205	1	1	0	0	1	0	0	1	0	84.1			LY9	14.9	1.0
CD247	canonical	1	164	9	1	1	0	1	1	0	0	0	0	90.9	81.1				
CD248	canonical	1	757	670	1	1	0	1	0	0	0	1	0		78.5		DLK2	17.2	3.0
CD27	canonical	1	260	168	1	1	0	1	0	0	0	0	0		64.2		TNFRSF1B	25.7	
CD274	canonical	1	290	220	1	1	0	1	1	1	1	1	1	93.4	69.3	2.0	RNF152	15.9	2.0
CD276	canonical	1	534	437	1	1	0	1	1	0	1	1	0	97.4	52.6		ERMAP	23.1	2.0
CD28	canonical	1	220	136	1	1	0	1	1	1	1	1	0	98.2	67.7	2.0	CTLA4	28.7	3.0
CD300A	canonical	1	299	163	1	1	0	0	1	0	1	1	1	73.9			CD300C	69.9	1.0
CD300C	canonical	1	224	162	1	1	0	0	1	0	0	1	1	84.8			CD300A	70.6	1.0
CD300LF	canonical	1	290	139	1	1	0	0	1	0	1	1	1	86.2			CD300LD	57.8	1.0
CD302	canonical	1	232	148	1	1	0	1	1	0	0	1	0	94.0	73.7		MRC1	4.9	1.0
CD320	canonical	1	282	195	1	1	0	1	1	0	0	1	0	82.3	56.0		LDLRAD2	20.2	1.0
CD33	canonical	1	364	243	1	1	0	0	0	0	0	1	1				SIGLEC6	50.5	2.0
CD34	canonical	1	385	259	1	1	0	1	1	0	0	1	0	89.4	65.5				1.0
CD36	canonical	2	472	409	0	0	0	1	1	0	1	1	0	94.9	84.1		SCARB2	35.9	1.0
CD37	canonical	4	281	149	0	0	0	1	0	0	1	1	0		80.1		TSPAN3	28.2	1.0
CD38	canonical	1	300	256	0	0	1	1	1	0	0	1	0	92.3	58.0		BST1	33.2	2.0
CD3E	canonical	1	207	111	1	1	0	1	1	1	0	0	0	82.6	58.5	2.0	CD3G	27.0	
CD3G	canonical	1	182	95	1	1	0	1	1	1	0	1	0	81.9	69.8	2.0	CD3D	33.7	1.0
CD4	canonical	1	458	371	1	1	0	1	1	0	0	1	0	92.1	54.8				2.0
CD40	canonical	1	277	174	1	1	0	1	1	0	1	1	0	88.8	62.1		TNFRSF11A	37.7	2.0
CD40LG	canonical	1	261	217	0	0	1	1	1	0	0	1	0	98.1	77.4		TNFSF14	24.9	2.0
CD44	canonical	1	742	629	1	1	0	1	1	0	1	1	0	95.1	70.2		LYVE1	13.0	1.0
CD46	canonical	1	392	311	1	1	0	0	1	0	0	1	0	83.0			CSMD1	4.4	3.0
CD47	canonical	5	323	139	1	1	0	1	1	1	0	0	0	91.6	72.1	2.0			
CD48	canonical	1	243	196	1	1	0	0	1	0	1	1	0	81.5			LY9	14.7	2.0
CD5	canonical	1	495	358	1	1	0	1	0	0	0	1	0		64.0		DMBT1	5.6	1.0
CD52	canonical	0	61	37	1	1	1	0	1	0	0	0	0	86.9					
CD53	canonical	4	219	97	0	0	0	1	1	0	0	0	0	81.3	83.1		TSPAN9	30.7	
CD55	canonical	0	381	347	1	1	1	0	1	0	0	1	0	79.3			CSMD3	4.5	1.0
CD58	canonical	1	250	187	1	1	0	0	1	0	0	1	0	82.4					1.0
