gene_symbol	uniprot_acc	triage_verdict	triage_reason	deep_dive_reason	deep_dive_tier	go_surface_flag	surfy_surface_flag	hpa_surface_flag	uniprot_optimized	cspa_optimized
ABCC4	O15439	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
ABCC5	O15440	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
ABCC6	O95255	no	other	tissue_restricted_surface	likely	1	0	1	1	0
ABCC8	Q09428	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	0	0	1	0
ABCC9	O60706	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
ABCG1	P45844	contextual	cell_state_induced	cell_state_induced	likely	1	0	0	1	0
ABCG2	Q9UNQ0	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
ABCG4	Q9H172	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	0	1	0	1	0
ABCG5	Q9H222	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	1	1	0	1	0
ABCG8	Q9H221	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	1	0	0	1	0
ABHD12	Q8N2K0	no	endomembrane_resident	endomembrane_resident	no	0	0	0	1	0
ABHD2	P08910	yes	classical_surface_receptor	tissue_restricted_surface	likely	1	0	0	1	0
ABHD3	Q8WU67	no	cytoplasmic	endomembrane_resident	no	0	0	1	0	0
ABHD6	Q9BV23	contextual	lysosomal_exocytosis	dual_localization	low	1	0	0	1	0
ABI3BP	Q7Z7G0	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	1
ABRA	Q8N0Z2	contextual	tissue_restricted_surface	cytoplasmic	no	0	0	0	0	0
ACE	P12821	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ACE2	Q9BYF1	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	0
ACHE	P22303	yes	gpi_anchored	tissue_restricted_surface	likely	0	1	0	1	1
ACKR1	Q16570	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ACKR2	O00590	yes	multipass_with_exposed_loops	dual_localization	likely	1	1	0	1	0
ACKR3	P25106	yes	multipass_with_exposed_loops	cell_state_induced	canonical	1	1	1	1	1
ACKR4	Q9NPB9	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	0
ACKR5	O15218	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ACP2	P11117	contextual	lysosomal_exocytosis	dual_localization	low	0	1	0	0	1
ACP3	P15309	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	0	0	1	0
ACP4	Q9BZG2	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	1	1	1	0
ACR	P10323	contextual	tissue_restricted_surface	tissue_restricted_surface	low	0	0	0	0	0
ACRBP	Q8NEB7	contextual	tissue_restricted_surface	cell_state_induced	likely	0	0	0	0	0
ACRV1	P26436	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	0	0	0	0
ACTN1	P12814	no	inner_leaflet_anchored	inner_leaflet_anchored	no	0	0	1	0	1
ACTRT1	Q8TDG2	contextual	tissue_restricted_surface	cytoplasmic	no	0	0	0	0	0
ACVR1	Q04771	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ACVR1B	P36896	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	0
ACVR1C	Q8NER5	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	0
ACVR2A	P27037	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ACVR2B	Q13705	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ACVRL1	P37023	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	0
ACY3	Q96HD9	no	secreted_only	cytoplasmic	no	0	0	0	1	0
ADA	P00813	contextual	stable_surface_attachment	stable_surface_attachment	likely	1	0	1	0	0
ADA2	Q9NZK5	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	0
ADAM10	O14672	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	1	1	1
ADAM11	O75078	yes	classical_surface_receptor	tissue_restricted_surface	likely	0	1	0	1	0
ADAM12	O43184	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	1	1	1
ADAM15	Q13444	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ADAM17	P78536	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ADAM18	Q9Y3Q7	contextual	tissue_restricted_surface	tissue_restricted_surface	low	0	1	0	1	0
ADAM19	Q9H013	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	0	1	1
ADAM2	Q99965	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	1	0	1	0
ADAM20	O43506	contextual	tissue_restricted_surface	tissue_restricted_surface	low	1	1	0	1	0
ADAM21	Q9UKJ8	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	1	1	0	1	0
ADAM22	Q9P0K1	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	1	1	1
ADAM23	O75077	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	1	1	0
ADAM28	Q9UKQ2	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	1	1	0
ADAM29	Q9UKF5	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	1	1	0	1	0
ADAM30	Q9UKF2	contextual	tissue_restricted_surface	tissue_restricted_surface	low	1	1	0	1	0
ADAM32	Q8TC27	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	1	0	1	0
ADAM33	Q9BZ11	contextual	dual_localization	tissue_restricted_surface	likely	0	1	1	1	0
ADAM7	Q9H2U9	yes	classical_surface_receptor	tissue_restricted_surface	likely	0	1	0	1	0
ADAM8	P78325	yes	classical_surface_receptor	cell_state_induced	canonical	1	1	0	1	1
ADAM9	Q13443	yes	classical_surface_receptor	cell_state_induced	canonical	1	1	0	1	1
ADAMTS1	Q9UHI8	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	0
ADAMTS10	Q9H324	no	secreted_only	stable_surface_attachment	likely	0	0	0	0	0
ADAMTS12	P58397	contextual	stable_surface_attachment	cell_state_induced	low	0	0	0	0	0
ADAMTS14	Q8WXS8	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	0
ADAMTS15	Q8TE58	no	secreted_only	secreted_only	no	0	0	0	1	1
ADAMTS16	Q8TE57	contextual	stable_surface_attachment	cell_state_induced	canonical	0	0	0	0	0
ADAMTS17	Q8TE56	contextual	stable_surface_attachment	tissue_restricted_surface	low	0	0	0	0	0
ADAMTS18	Q8TE60	no	secreted_only	secreted_only	no	0	0	0	0	0
ADAMTS19	Q8TE59	contextual	dual_localization	secreted_only	no	0	0	0	0	0
ADAMTS3	O15072	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	0
ADAMTS5	Q9UNA0	contextual	stable_surface_attachment	stable_surface_attachment	canonical	0	0	0	0	0
ADAMTS6	Q9UKP5	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	0
ADAMTS7	Q9UKP4	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	0
ADAMTS8	Q9UP79	contextual	stable_surface_attachment	stable_surface_attachment	low	0	0	0	0	0
ADAMTS9	Q9P2N4	contextual	dual_localization	cell_state_induced	likely	0	0	0	0	0
ADAMTSL3	P82987	no	secreted_only	secreted_only	no	0	0	0	0	0
ADAMTSL4	Q6UY14	no	secreted_only	secreted_only	no	0	0	1	0	1
ADAP2	Q9NPF8	no	inner_leaflet_anchored	inner_leaflet_anchored	no	0	0	0	0	0
ADCY1	Q08828	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	0	0	0	1	0
ADCY2	Q08462	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	likely	0	1	0	1	0
ADCY3	O60266	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	1	1	1	1	0
ADCY4	Q8NFM4	yes	multipass_with_exposed_loops	dual_localization	likely	0	0	1	1	0
ADCY5	O95622	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	0	1	1	1	0
ADCY6	O43306	no	other	multipass_with_exposed_loops	canonical	0	1	0	1	0
ADCY7	P51828	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	0	1	1	0	0
ADCY8	P40145	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	1	0	1	1	0
ADCY9	O60503	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	0	1	1	1	0
ADCYAP1R1	P41586	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADD2	P35612	no	inner_leaflet_anchored	inner_leaflet_anchored	no	1	0	1	0	0
ADGRA1	Q86SQ6	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	0	1	0	1	0
ADGRA2	Q96PE1	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	1
ADGRA3	Q8IWK6	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	1
ADGRB1	O14514	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	0
ADGRB2	O60241	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	0	1	1	1	0
ADGRB3	O60242	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADGRD1	Q6QNK2	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	0
ADGRD2	Q7Z7M1	yes	multipass_with_exposed_loops	classical_surface_receptor	likely	0	1	0	1	0
ADGRE1	Q14246	yes	multipass_with_exposed_loops	cell_state_induced	canonical	0	1	0	1	0
ADGRE2	Q9UHX3	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	1
ADGRE3	Q9BY15	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	1
ADGRE5	P48960	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	1
ADGRF1	Q5T601	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	1
ADGRF3	Q8IZF5	yes	multipass_with_exposed_loops	classical_surface_receptor	likely	0	1	0	1	0
ADGRF4	Q8IZF3	yes	multipass_with_exposed_loops	dual_localization	low	0	1	0	1	0
ADGRF5	Q8IZF2	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	1
ADGRG1	Q9Y653	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	1
ADGRG2	Q8IZP9	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	1	1	1	1	1
ADGRG3	Q86Y34	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADGRG4	Q8IZF6	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADGRG5	Q8IZF4	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADGRG6	Q86SQ4	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	1
ADGRG7	Q96K78	yes	multipass_with_exposed_loops	cell_state_induced	low	0	1	1	1	0
ADGRL1	O94910	yes	multipass_with_exposed_loops	cell_state_induced	canonical	1	1	0	1	0
ADGRL2	O95490	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	1	1	1
ADGRL3	Q9HAR2	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	0	1	0
ADGRL4	Q9HBW9	yes	multipass_with_exposed_loops	cell_state_induced	canonical	0	1	0	1	1
ADGRV1	Q8WXG9	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	1	1	0	1	0
ADIPOR1	Q96A54	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	0	0	0	1	0
ADIPOR2	Q86V24	yes	multipass_with_exposed_loops	cell_state_induced	canonical	0	1	0	1	0
ADISSP	Q9GZN8	contextual	tissue_restricted_surface	secreted_only	no	0	0	0	0	0
ADM5	C9JUS6	no	secreted_only	secreted_only	no	0	0	0	0	0
ADORA1	P30542	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	1
ADORA2A	P29274	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	0
ADORA2B	P29275	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	0
ADORA3	P0DMS8	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	0	0	1	0
ADRA1A	P35348	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADRA1B	P35368	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	0
ADRA1D	P25100	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADRA2A	P08913	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	1
ADRA2B	P18089	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	1	1	0	1	0
ADRA2C	P18825	yes	multipass_with_exposed_loops	cell_state_induced	likely	0	1	0	1	1
ADRB1	P08588	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADRB2	P07550	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	1	1	1
ADRB3	P13945	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	0
ADTRP	Q96IZ2	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	1	0	0	1	0
AEBP1	Q8IUX7	contextual	stable_surface_attachment	secreted_only	no	0	0	0	0	1
AFAP1L2	Q8N4X5	no	inner_leaflet_anchored	inner_leaflet_anchored	no	0	0	0	0	0
AGER	Q15109	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	1	1	0
AGMO	Q6ZNB7	no	endomembrane_resident	endomembrane_resident	no	0	0	0	0	0
AGPAT1	Q99943	no	endomembrane_resident	dual_localization	low	0	0	0	0	0
AGR2	O95994	contextual	cell_state_induced	cell_state_induced	likely	0	0	0	0	0
AGR3	Q8TD06	no	endomembrane_resident	endomembrane_resident	no	0	0	0	0	0
AGRN	O00468	contextual	dual_localization	cell_state_induced	canonical	0	0	1	1	1
AGTR1	P30556	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	1
AGTR2	P50052	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	1
AGTRAP	Q6RW13	contextual	dual_localization	dual_localization	low	0	0	0	1	0
AHCYL1	O43865	no	cytoplasmic	cytoplasmic	no	1	0	0	1	0
AHNAK	Q09666	contextual	dual_localization	cell_state_induced	likely	1	0	1	0	0
AHNAK2	Q8IVF2	contextual	dual_localization	cell_state_induced	likely	1	0	1	0	0
AIFM2	Q9BRQ8	contextual	other	inner_leaflet_anchored	no	0	0	1	1	0
AIG1	Q9NVV5	no	endomembrane_resident	endomembrane_resident	no	0	0	0	1	0
AIMP1	Q12904	contextual	cell_state_induced	cell_state_induced	low	1	0	0	0	0
AJAP1	Q9UKB5	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	0
AJM1	C9J069	contextual	dual_localization	cytoplasmic	no	0	0	1	1	0
AKAP19	Q9BSF0	contextual	other	inner_leaflet_anchored	no	0	0	0	0	0
AKAP4	Q5JQC9	contextual	tissue_restricted_surface	tissue_restricted_surface	low	0	0	0	0	0
AKAP7	O43687	no	inner_leaflet_anchored	inner_leaflet_anchored	no	1	0	0	1	0
AKR1A1	P14550	no	cytoplasmic	cytoplasmic	no	1	0	0	1	0
ALCAM	Q13740	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ALG10B	Q5I7T1	no	endomembrane_resident	endomembrane_resident	no	0	0	0	1	0
ALK	Q9UM73	yes	classical_surface_receptor	cell_state_induced	canonical	0	1	1	1	0
ALKAL1	Q6UXT8	no	secreted_only	secreted_only	no	0	0	0	1	0
ALKAL2	Q6UX46	contextual	dual_localization	secreted_only	no	0	0	0	1	0
ALOX5AP	P20292	yes	multipass_with_exposed_loops	nuclear_envelope	no	0	0	0	0	0
ALPG	P10696	contextual	tissue_restricted_surface	cell_state_induced	canonical	0	1	1	1	0
ALPI	P09923	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	1	1	1	0
ALPK2	Q86TB3	no	inner_leaflet_anchored	inner_leaflet_anchored	no	1	0	0	1	0
ALPL	P05186	yes	gpi_anchored	gpi_anchored	canonical	0	1	0	1	1
ALPP	P05187	yes	gpi_anchored	gpi_anchored	canonical	1	1	1	1	1
AMBP	P02760	no	secreted_only	secreted_only	no	1	0	0	1	1
AMFR	Q9UKV5	contextual	dual_localization	dual_localization	likely	0	0	0	0	0
AMHR2	Q16671	yes	classical_surface_receptor	tissue_restricted_surface	likely	0	1	0	1	0
AMIGO1	Q86WK6	yes	classical_surface_receptor	tissue_restricted_surface	likely	1	1	0	1	1
AMIGO2	Q86SJ2	yes	classical_surface_receptor	cell_state_induced	canonical	0	1	1	1	1
AMIGO3	Q86WK7	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	0	1	0
AMN	Q9BXJ7	yes	classical_surface_receptor	tissue_restricted_surface	likely	1	1	0	1	0
AMOT	Q4VCS5	contextual	dual_localization	dual_localization	low	1	0	1	0	0
AMOTL2	Q9Y2J4	no	cytoplasmic	cytoplasmic	no	0	0	1	0	0
AMPH	P49418	no	inner_leaflet_anchored	inner_leaflet_anchored	no	1	0	1	0	0
AMTN	Q6UX39	contextual	tissue_restricted_surface	secreted_only	no	0	0	0	0	0
ANG	P03950	contextual	stable_surface_attachment	stable_surface_attachment	low	0	0	0	0	0
ANGPTL2	Q9UKU9	contextual	dual_localization	cell_state_induced	low	0	0	0	0	1
ANGPTL4	Q9BY76	contextual	dual_localization	cell_state_induced	low	0	0	0	0	1
ANGPTL7	O43827	contextual	tissue_restricted_surface	secreted_only	no	0	0	0	0	0
ANGPTL8	Q6UXH0	contextual	dual_localization	secreted_only	no	0	0	0	0	0
ANK2	Q01484	no	inner_leaflet_anchored	inner_leaflet_anchored	no	1	0	1	1	0
ANK3	Q12955	no	inner_leaflet_anchored	inner_leaflet_anchored	no	1	0	1	0	0
ANKEF1	Q9NU02	no	cytoplasmic	tissue_restricted_surface	low	0	0	1	0	0
ANKFN1	Q8N957	no	cytoplasmic	cytoplasmic	no	0	0	1	0	0
ANKH	Q9HCJ1	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	0	1	0	1	0
ANKRD13A	Q8IZ07	no	inner_leaflet_anchored	inner_leaflet_anchored	no	0	0	1	0	0
ANKRD13B	Q86YJ7	no	inner_leaflet_anchored	inner_leaflet_anchored	no	0	0	1	0	0
ANKRD20A1	Q5TYW2	contextual	dual_localization	cytoplasmic	no	0	0	0	0	0
ANKRD24	Q8TF21	contextual	tissue_restricted_surface	tissue_restricted_surface	low	0	0	0	0	0
ANKRD30BL	A7E2S9	no	cytoplasmic	cytoplasmic	no	0	0	1	0	0
ANKRD35	Q8N283	no	cytoplasmic	cytoplasmic	no	0	0	1	0	0
ANO1	Q5XXA6	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
ANO10	Q9NW15	no	endomembrane_resident	dual_localization	low	0	0	1	1	0
ANO2	Q9NQ90	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	0	1	1	1	0
ANO3	Q9BYT9	no	endomembrane_resident	tissue_restricted_surface	likely	0	1	0	1	0
ANO4	Q32M45	yes	multipass_with_exposed_loops	tissue_restricted_surface	likely	0	0	0	1	0
ANO5	Q75V66	no	endomembrane_resident	dual_localization	low	0	1	0	1	1
ANO6	Q4KMQ2	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	1
ANO7	Q6IWH7	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	1	0	1	0
ANO8	Q9HCE9	yes	multipass_with_exposed_loops	dual_localization	low	0	0	0	1	0
ANO9	A1A5B4	yes	multipass_with_exposed_loops	tissue_restricted_surface	low	0	1	0	1	1
ANOS1	P23352	yes	other	cell_state_induced	canonical	1	0	0	1	0
ANPEP	P15144	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	1	1	1
ANTXR1	Q9H6X2	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	1
ANTXR2	P58335	yes	classical_surface_receptor	classical_surface_receptor	canonical	1	1	0	1	0
ANTXRL	A6NF34	yes	classical_surface_receptor	other	low	1	1	0	1	0
ANXA1	P04083	contextual	dual_localization	dual_localization	likely	1	0	1	1	0
ANXA13	P27216	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	1	0	1	1	0
ANXA2	P07355	contextual	dual_localization	dual_localization	likely	1	0	1	0	0
ANXA2R	Q3ZCQ2	yes	classical_surface_receptor	cell_state_induced	likely	0	0	0	0	0
ANXA3	P12429	contextual	cell_state_induced	cell_state_induced	low	0	0	1	0	0
ANXA5	P08758	contextual	cell_state_induced	cell_state_induced	likely	1	0	0	0	0
ANXA6	P08133	contextual	cell_state_induced	cell_state_induced	likely	0	0	0	0	0
ANXA7	P20073	no	inner_leaflet_anchored	inner_leaflet_anchored	no	0	0	0	0	0
ANXA8	P13928	contextual	cell_state_induced	cell_state_induced	likely	1	0	0	0	0
ANXA8L1	Q5VT79	contextual	cell_state_induced	inner_leaflet_anchored	no	1	0	0	0	0
ANXA9	O76027	no	cytoplasmic	tissue_restricted_surface	low	1	0	0	0	0
AOC1	P19801	contextual	dual_localization	dual_localization	low	0	0	0	1	0
AOC2	O75106	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	0	0	0	1	0
AOC3	Q16853	yes	classical_surface_receptor	cell_state_induced	canonical	1	1	0	1	0
AOPEP	Q8N6M6	contextual	tissue_restricted_surface	other	low	0	0	1	0	0
AP2M1	Q96CW1	no	cytoplasmic	cytoplasmic	no	1	0	1	0	0
APC	P25054	no	cytoplasmic	cytoplasmic	no	1	0	1	0	0
APCDD1	Q8J025	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	0	1	1
APCDD1L	Q8NCL9	contextual	dual_localization	other	low	0	0	0	0	0
APCS	P02743	contextual	stable_surface_attachment	stable_surface_attachment	likely	0	0	0	0	0
APH1A	Q96BI3	no	endomembrane_resident	dual_localization	low	1	0	0	0	0
APLNR	P35414	yes	multipass_with_exposed_loops	classical_surface_receptor	canonical	0	1	0	1	1
APLP1	P51693	contextual	dual_localization	tissue_restricted_surface	likely	0	1	1	1	1
APLP2	Q06481	yes	classical_surface_receptor	classical_surface_receptor	canonical	0	1	0	1	1
APMAP	Q9HDC9	yes	classical_surface_receptor	cell_state_induced	likely	1	0	1	1	0
APOBR	Q0VD83	yes	classical_surface_receptor	other	low	0	0	1	0	0
APOD	P05090	no	secreted_only	cell_state_induced	likely	0	0	1	0	1
APOE	P02649	contextual	dual_localization	dual_localization	low	0	0	0	0	0
APOH	P02749	contextual	stable_surface_attachment	stable_surface_attachment	canonical	1	0	0	0	1
APOL1	O14791	contextual	dual_localization	cell_state_induced	canonical	0	0	0	0	0
APOLD1	Q96LR9	contextual	cell_state_induced	dual_localization	low	0	0	1	1	0
APOM	O95445	yes	classical_surface_receptor	secreted_only	no	0	0	0	0	0
APP	P05067	contextual	dual_localization	dual_localization	canonical	1	1	0	1	0
AQP1	P29972	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
AQP10	Q96PS8	contextual	tissue_restricted_surface	tissue_restricted_surface	likely	1	1	1	1	0
AQP11	Q8NBQ7	contextual	dual_localization	dual_localization	likely	1	0	1	1	0
AQP12A	Q8IXF9	no	endomembrane_resident	endomembrane_resident	no	0	0	0	1	0
AQP12B	A6NM10	contextual	dual_localization	cell_state_induced	low	0	0	0	1	0
AQP2	P41181	contextual	dual_localization	cell_state_induced	likely	1	1	0	1	0
AQP3	Q92482	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	0	1	1	0
AQP4	P55087	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
AQP5	P55064	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	1	1	1	0
AQP6	Q13520	no	endomembrane_resident	dual_localization	low	0	0	0	1	0
AQP7	O14520	yes	multipass_with_exposed_loops	multipass_with_exposed_loops	canonical	1	0	0	1	0
AQP7B	A0A075B734	yes	multipass_with_exposed_loops	other	low	1	0	0	1	0
AQP8	O94778	contextual	dual_localization	dual_localization	likely	1	1	0	1	0
