uniprot_accession	hgnc_id	hgnc_symbol	gene_symbol	ensembl_gene	ncbi_gene_id	src_sonnet	src_surfy	src_go	src_hpa	uniprot_optimized	cspa_optimized	n_sources_optimized	topo_gpi_anchored	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_no_tm_no_signal	up_has_glyc	deeptm_TM_NO_SP
Q09428	HGNC:59	ABCC8	ABCC8	ENSG00000006071	6833.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O60706	HGNC:60	ABCC9	ABCC9	ENSG00000069431	10060.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O14678	HGNC:68	ABCD4	ABCD4	ENSG00000119688	5826.0	0	0	1	0	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P45844	HGNC:73	ABCG1	ABCG1	ENSG00000160179	9619.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q9UNQ0	HGNC:74	ABCG2	ABCG2	ENSG00000118777	9429.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9H172	HGNC:13884	ABCG4	ABCG4	ENSG00000172350	64137.0	1	1	0	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9H222	HGNC:13886	ABCG5	ABCG5	ENSG00000138075	64240.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9H221	HGNC:13887	ABCG8	ABCG8	ENSG00000143921	64241.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8N2K0	HGNC:15868	ABHD12	ABHD12	ENSG00000100997	26090.0	0	0	0	0	1	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
P08910	HGNC:18717	ABHD2	ABHD2	ENSG00000140526	11057.0	1	0	1	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Q8WU67	HGNC:18718	ABHD3	ABHD3	ENSG00000158201	171586.0	0	0	0	1	0	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q9BV23	HGNC:21398	ABHD6	ABHD6	ENSG00000163686	57406.0	1	0	1	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q8IZP0	HGNC:11320	ABI1	ABI1	ENSG00000136754	10006.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q7Z7G0	HGNC:17265	ABI3BP	ABI3BP	ENSG00000154175	25890.0	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8N0Z2	HGNC:30655	ABRA	ABRA	ENSG00000174429	137735.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P42765	HGNC:83	ACAA2	ACAA2	ENSG00000167315	10449.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P12821	HGNC:2707	ACE	ACE	ENSG00000159640	1636.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9BYF1	HGNC:13557	ACE2	ACE2	ENSG00000130234	59272.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P22303	HGNC:108	ACHE	ACHE	ENSG00000087085	43.0	1	1	0	0	1	1	3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q16570	HGNC:4035	ACKR1	ACKR1	ENSG00000213088	2532.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
O00590	HGNC:1565	ACKR2	ACKR2	ENSG00000144648	1238.0	1	1	1	0	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
P25106	HGNC:23692	ACKR3	ACKR3	ENSG00000144476	57007.0	1	1	1	1	1	1	5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9NPB9	HGNC:1611	ACKR4	ACKR4	ENSG00000129048	51554.0	1	1	1	0	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
O15218	HGNC:13708	ACKR5	ACKR5	ENSG00000166856	11318.0	1	1	0	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9NPJ3	HGNC:20999	ACOT13	ACOT13	ENSG00000112304	55856.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9Y305	HGNC:17152	ACOT9	ACOT9	ENSG00000123130	23597.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P24666	HGNC:122	ACP1	ACP1	ENSG00000143727	52.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P11117	HGNC:123	ACP2	ACP2	ENSG00000134575	53.0	1	1	0	0	0	1	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P15309	HGNC:125	ACP3	ACP3	ENSG00000014257	55.0	1	0	0	0	1	0	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9BZG2	HGNC:14376	ACP4	ACP4	ENSG00000142513	93650.0	1	1	0	1	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P10323	HGNC:126	ACR	ACR	ENSG00000100312	49.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8NEB7	HGNC:17195	ACRBP	ACRBP	ENSG00000111644	84519.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
P26436	HGNC:127	ACRV1	ACRV1	ENSG00000134940	56.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
O60488	HGNC:3571	ACSL4	ACSL4	ENSG00000068366	2182.0	0	0	0	0	1	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q9ULC5	HGNC:16526	ACSL5	ACSL5	ENSG00000197142	51703.0	0	0	0	0	1	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q5JWF8	HGNC:16127	ACTL10	ACTL10	ENSG00000288649	170487.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P12814	HGNC:163	ACTN1	ACTN1	ENSG00000072110	87.0	0	0	0	1	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9NZ32	HGNC:17372	ACTR10	ACTR10	ENSG00000131966	55860.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9GZN1	HGNC:24025	ACTR6	ACTR6	ENSG00000075089	64431.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q8TDG2	HGNC:24027	ACTRT1	ACTRT1	ENSG00000123165	139741.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q04771	HGNC:171	ACVR1	ACVR1	ENSG00000115170	90.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P36896	HGNC:172	ACVR1B	ACVR1B	ENSG00000135503	91.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q8NER5	HGNC:18123	ACVR1C	ACVR1C	ENSG00000123612	130399.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
P27037	HGNC:173	ACVR2A	ACVR2A	ENSG00000121989	92.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q13705	HGNC:174	ACVR2B	ACVR2B	ENSG00000114739	93.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P37023	HGNC:175	ACVRL1	ACVRL1	ENSG00000139567	94.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q96HD9	HGNC:24104	ACY3	ACY3	ENSG00000132744	91703.0	0	0	0	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P00813	HGNC:186	ADA	ADA	ENSG00000196839	100.0	1	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9NZK5	HGNC:1839	ADA2	ADA2	ENSG00000093072	51816.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
O14672	HGNC:188	ADAM10	ADAM10	ENSG00000137845	102.0	1	1	1	1	1	1	5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
O75078	HGNC:189	ADAM11	ADAM11	ENSG00000073670	4185.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
O43184	HGNC:190	ADAM12	ADAM12	ENSG00000148848	8038.0	1	1	0	1	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q13444	HGNC:193	ADAM15	ADAM15	ENSG00000143537	8751.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P78536	HGNC:195	ADAM17	ADAM17	ENSG00000151694	6868.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9Y3Q7	HGNC:196	ADAM18	ADAM18	ENSG00000168619	8749.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9H013	HGNC:197	ADAM19	ADAM19	ENSG00000135074	8728.0	1	1	0	0	1	1	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q99965	HGNC:198	ADAM2	ADAM2	ENSG00000104755	2515.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
O43506	HGNC:199	ADAM20	ADAM20	ENSG00000134007	8748.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9UKJ8	HGNC:200	ADAM21	ADAM21	ENSG00000139985	8747.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9P0K1	HGNC:201	ADAM22	ADAM22	ENSG00000008277	53616.0	1	1	1	1	1	1	5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
O75077	HGNC:202	ADAM23	ADAM23	ENSG00000114948	8745.0	1	1	1	1	1	0	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9UKQ2	HGNC:206	ADAM28	ADAM28	ENSG00000042980	10863.0	1	1	0	1	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9UKF5	HGNC:207	ADAM29	ADAM29	ENSG00000168594	11086.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9UKF2	HGNC:208	ADAM30	ADAM30	ENSG00000134249	11085.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q8TC27	HGNC:15479	ADAM32	ADAM32	ENSG00000197140	203102.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9BZ11	HGNC:15478	ADAM33	ADAM33	ENSG00000149451	80332.0	1	1	0	1	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9H2U9	HGNC:214	ADAM7	ADAM7	ENSG00000069206	8756.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P78325	HGNC:215	ADAM8	ADAM8	ENSG00000151651	101.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q13443	HGNC:216	ADAM9	ADAM9	ENSG00000168615	8754.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9UHI8	HGNC:217	ADAMTS1	ADAMTS1	ENSG00000154734	9510.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9H324	HGNC:13201	ADAMTS10	ADAMTS10	ENSG00000142303	81794.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
P58397	HGNC:14605	ADAMTS12	ADAMTS12	ENSG00000151388	81792.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q76LX8	HGNC:1366	ADAMTS13	ADAMTS13	ENSG00000160323	11093.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8WXS8	HGNC:14899	ADAMTS14	ADAMTS14	ENSG00000138316	140766.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8TE58	HGNC:16305	ADAMTS15	ADAMTS15	ENSG00000166106	170689.0	0	0	0	0	1	1	2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8TE57	HGNC:17108	ADAMTS16	ADAMTS16	ENSG00000145536	170690.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8TE56	HGNC:17109	ADAMTS17	ADAMTS17	ENSG00000140470	170691.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8TE60	HGNC:17110	ADAMTS18	ADAMTS18	ENSG00000140873	170692.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8TE59	HGNC:17111	ADAMTS19	ADAMTS19	ENSG00000145808	171019.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
O95450	HGNC:218	ADAMTS2	ADAMTS2	ENSG00000087116	9509.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
O15072	HGNC:219	ADAMTS3	ADAMTS3	ENSG00000156140	9508.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9UNA0	HGNC:221	ADAMTS5	ADAMTS5	ENSG00000154736	11096.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9UKP5	HGNC:222	ADAMTS6	ADAMTS6	ENSG00000049192	11174.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9UKP4	HGNC:223	ADAMTS7	ADAMTS7	ENSG00000136378	11173.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9UP79	HGNC:224	ADAMTS8	ADAMTS8	ENSG00000134917	11095.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9P2N4	HGNC:13202	ADAMTS9	ADAMTS9	ENSG00000163638	56999.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
P82987	HGNC:14633	ADAMTSL3	ADAMTSL3	ENSG00000156218	57188.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q6UY14	HGNC:19706	ADAMTSL4	ADAMTSL4	ENSG00000143382	54507.0	0	0	0	1	0	1	2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
O75689	HGNC:16486	ADAP1	ADAP1	ENSG00000105963	11033.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9NPF8	HGNC:16487	ADAP2	ADAP2	ENSG00000184060	55803.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q3MIX3	HGNC:21738	ADCK5	ADCK5	ENSG00000173137	203054.0	0	0	0	1	0	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q08828	HGNC:232	ADCY1	ADCY1	ENSG00000164742	107.0	1	0	0	0	1	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q08462	HGNC:233	ADCY2	ADCY2	ENSG00000078295	108.0	1	1	0	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O60266	HGNC:234	ADCY3	ADCY3	ENSG00000138031	109.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8NFM4	HGNC:235	ADCY4	ADCY4	ENSG00000129467	196883.0	1	0	0	1	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O95622	HGNC:236	ADCY5	ADCY5	ENSG00000173175	111.0	1	1	0	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O43306	HGNC:237	ADCY6	ADCY6	ENSG00000174233	112.0	0	1	0	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
P51828	HGNC:238	ADCY7	ADCY7	ENSG00000121281	113.0	1	1	0	1	0	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
P40145	HGNC:239	ADCY8	ADCY8	ENSG00000155897	114.0	1	0	1	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
O60503	HGNC:240	ADCY9	ADCY9	ENSG00000162104	115.0	1	1	0	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
P41586	HGNC:242	ADCYAP1R1	ADCYAP1R1	ENSG00000078549	117.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
P35611	HGNC:243	ADD1	ADD1	ENSG00000087274	118.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P35612	HGNC:244	ADD2	ADD2	ENSG00000075340	119.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9UEY8	HGNC:245	ADD3	ADD3	ENSG00000148700	120.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q86SQ6	HGNC:13838	ADGRA1	ADGRA1	ENSG00000197177	84435.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Q96PE1	HGNC:17849	ADGRA2	ADGRA2	ENSG00000020181	25960.0	1	1	0	1	1	1	4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q8IWK6	HGNC:13839	ADGRA3	ADGRA3	ENSG00000152990	166647.0	1	1	1	0	1	1	4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O14514	HGNC:943	ADGRB1	ADGRB1	ENSG00000181790	575.0	1	1	1	0	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O60241	HGNC:944	ADGRB2	ADGRB2	ENSG00000121753	576.0	1	1	0	1	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O60242	HGNC:945	ADGRB3	ADGRB3	ENSG00000135298	577.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q6QNK2	HGNC:19893	ADGRD1	ADGRD1	ENSG00000111452	283383.0	1	1	0	1	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q7Z7M1	HGNC:18651	ADGRD2	ADGRD2	ENSG00000180264	347088.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Q14246	HGNC:3336	ADGRE1	ADGRE1	ENSG00000174837	2015.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q9UHX3	HGNC:3337	ADGRE2	ADGRE2	ENSG00000127507	30817.0	1	1	1	0	1	1	4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
