ncbi_gene_id	gene_symbol	synonyms	chromosome	map_location	description	dbXrefs	hgnc_id	ensembl_gene	mim
21	ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	16	16p13.3	ATP binding cassette subfamily A member 3	MIM:601615|HGNC:HGNC:33|Ensembl:ENSG00000167972|AllianceGenome:HGNC:33	HGNC:33	ENSG00000167972	601615
22	ABCB7	ABC7|ASAT|Atm1p|EST140535	X	Xq13.3	ATP binding cassette subfamily B member 7	MIM:300135|HGNC:HGNC:48|Ensembl:ENSG00000131269|AllianceGenome:HGNC:48	HGNC:48	ENSG00000131269	300135
23	ABCF1	ABC27|ABC50	6	6p21.33	ATP binding cassette subfamily F member 1	MIM:603429|HGNC:HGNC:70|Ensembl:ENSG00000204574|AllianceGenome:HGNC:70	HGNC:70	ENSG00000204574	603429
24	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	1	1p22.1	ATP binding cassette subfamily A member 4	MIM:601691|HGNC:HGNC:34|Ensembl:ENSG00000198691|AllianceGenome:HGNC:34	HGNC:34	ENSG00000198691	601691
25	ABL1	ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9	9q34.12	ABL proto-oncogene 1, non-receptor tyrosine kinase	MIM:189980|HGNC:HGNC:76|Ensembl:ENSG00000097007|AllianceGenome:HGNC:76	HGNC:76	ENSG00000097007	189980
26	AOC1	ABP|ABP1|DAO|DAO1|KAO|KDAO	7	7q36.1	amine oxidase copper containing 1	MIM:104610|HGNC:HGNC:80|Ensembl:ENSG00000002726|AllianceGenome:HGNC:80	HGNC:80	ENSG00000002726	104610
27	ABL2	ABLL|ARG	1	1q25.2	ABL proto-oncogene 2, non-receptor tyrosine kinase	MIM:164690|HGNC:HGNC:77|Ensembl:ENSG00000143322|AllianceGenome:HGNC:77	HGNC:77	ENSG00000143322	164690
28	ABO	A3GALNT|A3GALT1|GTA|GTB|NAGAT	9	9q34.2	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	MIM:110300|HGNC:HGNC:79|Ensembl:ENSG00000175164|AllianceGenome:HGNC:79	HGNC:79	ENSG00000175164	110300
29	ABR	MDB	17	17p13.3	ABR activator of RhoGEF and GTPase	MIM:600365|HGNC:HGNC:81|Ensembl:ENSG00000159842|AllianceGenome:HGNC:81	HGNC:81	ENSG00000159842	600365
30	ACAA1	ACAA|Lnc-Myd88|PTHIO|THIO	3	3p22.2	acetyl-CoA acyltransferase 1	MIM:604054|HGNC:HGNC:82|Ensembl:ENSG00000060971|AllianceGenome:HGNC:82	HGNC:82	ENSG00000060971	604054
31	ACACA	ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1	17	17q12	acetyl-CoA carboxylase alpha	MIM:200350|HGNC:HGNC:84|Ensembl:ENSG00000278540|AllianceGenome:HGNC:84	HGNC:84	ENSG00000278540	200350
32	ACACB	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	12	12q24.11	acetyl-CoA carboxylase beta	MIM:601557|HGNC:HGNC:85|Ensembl:ENSG00000076555|AllianceGenome:HGNC:85	HGNC:85	ENSG00000076555	601557
33	ACADL	ACAD4|LCAD	2	2q34	acyl-CoA dehydrogenase long chain	MIM:609576|HGNC:HGNC:88|Ensembl:ENSG00000115361|AllianceGenome:HGNC:88	HGNC:88	ENSG00000115361	609576
34	ACADM	ACAD1|MCAD|MCADH	1	1p31.1	acyl-CoA dehydrogenase medium chain	MIM:607008|HGNC:HGNC:89|Ensembl:ENSG00000117054|AllianceGenome:HGNC:89	HGNC:89	ENSG00000117054	607008
35	ACADS	ACAD3|SCAD	12	12q24.31	acyl-CoA dehydrogenase short chain	MIM:606885|HGNC:HGNC:90|Ensembl:ENSG00000122971|AllianceGenome:HGNC:90	HGNC:90	ENSG00000122971	606885
36	ACADSB	2-MEBCAD|ACAD7|SBCAD	10	10q26.13	acyl-CoA dehydrogenase short/branched chain	MIM:600301|HGNC:HGNC:91|Ensembl:ENSG00000196177|AllianceGenome:HGNC:91	HGNC:91	ENSG00000196177	600301
37	ACADVL	ACAD6|LCACD|VLCAD	17	17p13.1	acyl-CoA dehydrogenase very long chain	MIM:609575|HGNC:HGNC:92|Ensembl:ENSG00000072778|AllianceGenome:HGNC:92	HGNC:92	ENSG00000072778	609575
38	ACAT1	ACAT|MAT|T2|THIL	11	11q22.3	acetyl-CoA acetyltransferase 1	MIM:607809|HGNC:HGNC:93|Ensembl:ENSG00000075239|AllianceGenome:HGNC:93	HGNC:93	ENSG00000075239	607809
39	ACAT2	-	6	6q25.3	acetyl-CoA acetyltransferase 2	MIM:100678|HGNC:HGNC:94|Ensembl:ENSG00000120437|AllianceGenome:HGNC:94	HGNC:94	ENSG00000120437	100678
40	ASIC2	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	17	17q11.2-q12	acid sensing ion channel subunit 2	MIM:601784|HGNC:HGNC:99|Ensembl:ENSG00000108684|AllianceGenome:HGNC:99	HGNC:99	ENSG00000108684	601784
41	ASIC1	ACCN2|ASIC|BNaC2	12	12q13.12	acid sensing ion channel subunit 1	MIM:602866|HGNC:HGNC:100|Ensembl:ENSG00000110881|AllianceGenome:HGNC:100	HGNC:100	ENSG00000110881	602866
43	ACHE	ACEE|ARACHE|N-ACHE|YT	7	7q22.1	acetylcholinesterase (Yt blood group)	MIM:100740|HGNC:HGNC:108|Ensembl:ENSG00000087085|AllianceGenome:HGNC:108	HGNC:108	ENSG00000087085	100740
47	ACLY	ACL|ATPCL|CLATP	17	17q21.2	ATP citrate lyase	MIM:108728|HGNC:HGNC:115|Ensembl:ENSG00000131473|AllianceGenome:HGNC:115	HGNC:115	ENSG00000131473	108728
48	ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	9	9p21.1	aconitase 1	MIM:100880|HGNC:HGNC:117|Ensembl:ENSG00000122729|AllianceGenome:HGNC:117	HGNC:117	ENSG00000122729	100880
49	ACR	SPGF87	22	22q13.33	acrosin	MIM:102480|HGNC:HGNC:126|Ensembl:ENSG00000100312|AllianceGenome:HGNC:126	HGNC:126	ENSG00000100312	102480
50	ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	22	22q13.2	aconitase 2	MIM:100850|HGNC:HGNC:118|Ensembl:ENSG00000100412|AllianceGenome:HGNC:118	HGNC:118	ENSG00000100412	100850
51	ACOX1	ACOX|AOX|MITCH|PALMCOX|SCOX	17	17q25.1	acyl-CoA oxidase 1	MIM:609751|HGNC:HGNC:119|Ensembl:ENSG00000161533|AllianceGenome:HGNC:119	HGNC:119	ENSG00000161533	609751
52	ACP1	HAAP|LMW-PTP|LMWPTP	2	2p25.3	acid phosphatase 1	MIM:171500|HGNC:HGNC:122|Ensembl:ENSG00000143727|AllianceGenome:HGNC:122	HGNC:122	ENSG00000143727	171500
53	ACP2	LAP	11	11p11.2|11p12-p11	acid phosphatase 2, lysosomal	MIM:171650|HGNC:HGNC:123|Ensembl:ENSG00000134575|AllianceGenome:HGNC:123	HGNC:123	ENSG00000134575	171650
54	ACP5	HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase	19	19p13.2	acid phosphatase 5, tartrate resistant	MIM:171640|HGNC:HGNC:124|Ensembl:ENSG00000102575|AllianceGenome:HGNC:124	HGNC:124	ENSG00000102575	171640
55	ACP3	5'-NT|ACP-3|ACPP|TM-PAP	3	3q22.1	acid phosphatase 3	MIM:171790|HGNC:HGNC:125|Ensembl:ENSG00000014257|AllianceGenome:HGNC:125	HGNC:125	ENSG00000014257	171790
56	ACRV1	D11S4365|SP-10|SPACA2	11	11q24.2	acrosomal vesicle protein 1	MIM:102525|HGNC:HGNC:127|Ensembl:ENSG00000134940|AllianceGenome:HGNC:127	HGNC:127	ENSG00000134940	102525
58	ACTA1	ACTA|ASMA|CFTD|CFTD1|CFTDM|CMYO2A|CMYO2B|CMYO2C|CMYP2A|CMYP2B|CMYP2C|MPFD|NEM1|NEM2|NEM3|SHPM	1	1q42.13	actin alpha 1, skeletal muscle	MIM:102610|HGNC:HGNC:129|Ensembl:ENSG00000143632|AllianceGenome:HGNC:129	HGNC:129	ENSG00000143632	102610
59	ACTA2	ACTSA|SMDYS	10	10q23.31	actin alpha 2, smooth muscle	MIM:102620|HGNC:HGNC:130|Ensembl:ENSG00000107796|AllianceGenome:HGNC:130	HGNC:130	ENSG00000107796	102620
60	ACTB	BKRNS|BNS|BRWS1|CSMH|DDS1|PS1TP5BP1|THC8	7	7p22.1	actin beta	MIM:102630|HGNC:HGNC:132|Ensembl:ENSG00000075624|AllianceGenome:HGNC:132	HGNC:132	ENSG00000075624	102630
70	ACTC1	ACTC|ASD5|CMD1R|CMH11|LVNC4	15	15q14	actin alpha cardiac muscle 1	MIM:102540|HGNC:HGNC:143|Ensembl:ENSG00000159251|AllianceGenome:HGNC:143	HGNC:143	ENSG00000159251	102540
71	ACTG1	ACT|ACTG|DFNA20|DFNA26|HEL-176	17	17q25.3	actin gamma 1	MIM:102560|HGNC:HGNC:144|Ensembl:ENSG00000184009|AllianceGenome:HGNC:144	HGNC:144	ENSG00000184009	102560
72	ACTG2	ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1	2	2p13.1	actin gamma 2, smooth muscle	MIM:102545|HGNC:HGNC:145|Ensembl:ENSG00000163017|AllianceGenome:HGNC:145	HGNC:145	ENSG00000163017	102545
81	ACTN4	ACTININ-4|FSGS|FSGS1	19	19q13.2	actinin alpha 4	MIM:604638|HGNC:HGNC:166|Ensembl:ENSG00000130402|AllianceGenome:HGNC:166	HGNC:166	ENSG00000130402	604638
86	ACTL6A	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1	3	3q26.33	actin like 6A	MIM:604958|HGNC:HGNC:24124|Ensembl:ENSG00000136518|AllianceGenome:HGNC:24124	HGNC:24124	ENSG00000136518	604958
87	ACTN1	BDPLT15	14	14q24.1|14q22-q24	actinin alpha 1	MIM:102575|HGNC:HGNC:163|Ensembl:ENSG00000072110|AllianceGenome:HGNC:163	HGNC:163	ENSG00000072110	102575
88	ACTN2	CMD1AA|CMH23|CMYO8|CMYP8|MPD6|MYOCOZ	1	1q43	actinin alpha 2	MIM:102573|HGNC:HGNC:164|Ensembl:ENSG00000077522|AllianceGenome:HGNC:164	HGNC:164	ENSG00000077522	102573
89	ACTN3	ACTN3D	11	11q13.2	actinin alpha 3	MIM:102574|HGNC:HGNC:165|Ensembl:ENSG00000248746|AllianceGenome:HGNC:165	HGNC:165	ENSG00000248746	102574
90	ACVR1	ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI	2	2q24.1	activin A receptor type 1	MIM:102576|HGNC:HGNC:171|Ensembl:ENSG00000115170|AllianceGenome:HGNC:171	HGNC:171	ENSG00000115170	102576
91	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	12	12q13.13	activin A receptor type 1B	MIM:601300|HGNC:HGNC:172|Ensembl:ENSG00000135503|AllianceGenome:HGNC:172	HGNC:172	ENSG00000135503	601300
92	ACVR2A	ACTRII|ACVR2	2	2q22.3-q23.1	activin A receptor type 2A	MIM:102581|HGNC:HGNC:173|Ensembl:ENSG00000121989|AllianceGenome:HGNC:173	HGNC:173	ENSG00000121989	102581
93	ACVR2B	ACTRIIB|ActR-IIB|HTX4	3	3p22.2	activin A receptor type 2B	MIM:602730|HGNC:HGNC:174|Ensembl:ENSG00000114739|AllianceGenome:HGNC:174	HGNC:174	ENSG00000114739	602730
94	ACVRL1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	12	12q13.13	activin A receptor like type 1	MIM:601284|HGNC:HGNC:175|Ensembl:ENSG00000139567|AllianceGenome:HGNC:175	HGNC:175	ENSG00000139567	601284
95	ACY1	ACY-1|ACY1D|HEL-S-5	3	3p21.2	aminoacylase 1	MIM:104620|HGNC:HGNC:177|Ensembl:ENSG00000243989|AllianceGenome:HGNC:177	HGNC:177	ENSG00000243989	104620
97	ACYP1	ACYPE	14	14q24.3	acylphosphatase 1	MIM:600875|HGNC:HGNC:179|Ensembl:ENSG00000119640|AllianceGenome:HGNC:179	HGNC:179	ENSG00000119640	600875
98	ACYP2	ACYM|ACYP	2	2p16.2	acylphosphatase 2	MIM:102595|HGNC:HGNC:180|Ensembl:ENSG00000170634|AllianceGenome:HGNC:180	HGNC:180	ENSG00000170634	102595
100	ADA	ADA1	20	20q13.12	adenosine deaminase	MIM:608958|HGNC:HGNC:186|Ensembl:ENSG00000196839|AllianceGenome:HGNC:186	HGNC:186	ENSG00000196839	608958
101	ADAM8	CD156|CD156a|MS2	10	10q26.3	ADAM metallopeptidase domain 8	MIM:602267|HGNC:HGNC:215|Ensembl:ENSG00000151651|AllianceGenome:HGNC:215	HGNC:215	ENSG00000151651	602267
102	ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	15	15q21.3	ADAM metallopeptidase domain 10	MIM:602192|HGNC:HGNC:188|Ensembl:ENSG00000137845|AllianceGenome:HGNC:188	HGNC:188	ENSG00000137845	602192
103	ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	1	1q21.3	adenosine deaminase RNA specific	MIM:146920|HGNC:HGNC:225|Ensembl:ENSG00000160710|AllianceGenome:HGNC:225	HGNC:225	ENSG00000160710	146920
104	ADARB1	ADAR2|DRABA2|DRADA2|NEDHYMS|RED1	21	21q22.3	adenosine deaminase RNA specific B1	MIM:601218|HGNC:HGNC:226|Ensembl:ENSG00000197381|AllianceGenome:HGNC:226	HGNC:226	ENSG00000197381	601218
105	ADARB2	ADAR3|RED2	10	10p15.3	adenosine deaminase RNA specific B2 (inactive)	MIM:602065|HGNC:HGNC:227|Ensembl:ENSG00000185736|AllianceGenome:HGNC:227	HGNC:227	ENSG00000185736	602065
107	ADCY1	AC1|DFNB44	7	7p12.3	adenylate cyclase 1	MIM:103072|HGNC:HGNC:232|Ensembl:ENSG00000164742|AllianceGenome:HGNC:232	HGNC:232	ENSG00000164742	103072
108	ADCY2	AC2|HBAC2	5	5p15.31	adenylate cyclase 2	MIM:103071|HGNC:HGNC:233|Ensembl:ENSG00000078295|AllianceGenome:HGNC:233	HGNC:233	ENSG00000078295	103071
109	ADCY3	AC-III|AC3|BMIQ19	2	2p23.3	adenylate cyclase 3	MIM:600291|HGNC:HGNC:234|Ensembl:ENSG00000138031|AllianceGenome:HGNC:234	HGNC:234	ENSG00000138031	600291
111	ADCY5	AC5|DSKOD|FDFM	3	3q21.1	adenylate cyclase 5	MIM:600293|HGNC:HGNC:236|Ensembl:ENSG00000173175|AllianceGenome:HGNC:236	HGNC:236	ENSG00000173175	600293
112	ADCY6	AC6|LCCS8	12	12q13.12	adenylate cyclase 6	MIM:600294|HGNC:HGNC:237|Ensembl:ENSG00000174233|AllianceGenome:HGNC:237	HGNC:237	ENSG00000174233	600294
113	ADCY7	AC7	16	16q12.1	adenylate cyclase 7	MIM:600385|HGNC:HGNC:238|Ensembl:ENSG00000121281|AllianceGenome:HGNC:238	HGNC:238	ENSG00000121281	600385
114	ADCY8	AC8|ADCY3|HBAC1	8	8q24.22	adenylate cyclase 8	MIM:103070|HGNC:HGNC:239|Ensembl:ENSG00000155897|AllianceGenome:HGNC:239	HGNC:239	ENSG00000155897	103070
115	ADCY9	AC9|ACIX	16	16p13.3	adenylate cyclase 9	MIM:603302|HGNC:HGNC:240|Ensembl:ENSG00000162104|AllianceGenome:HGNC:240	HGNC:240	ENSG00000162104	603302
116	ADCYAP1	PACAP	18	18p11.32	adenylate cyclase activating polypeptide 1	MIM:102980|HGNC:HGNC:241|Ensembl:ENSG00000141433|AllianceGenome:HGNC:241	HGNC:241	ENSG00000141433	102980
117	ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	7	7p14.3	ADCYAP receptor type I	MIM:102981|HGNC:HGNC:242|Ensembl:ENSG00000078549|AllianceGenome:HGNC:242	HGNC:242	ENSG00000078549	102981
118	ADD1	ADDA	4	4p16.3	adducin 1	MIM:102680|HGNC:HGNC:243|Ensembl:ENSG00000087274|AllianceGenome:HGNC:243	HGNC:243	ENSG00000087274	102680
119	ADD2	ADDB	2	2p13.3	adducin 2	MIM:102681|HGNC:HGNC:244|Ensembl:ENSG00000075340|AllianceGenome:HGNC:244	HGNC:244	ENSG00000075340	102681
120	ADD3	ADDL|CPSQ3	10	10q25.1-q25.2	adducin 3	MIM:601568|HGNC:HGNC:245|Ensembl:ENSG00000148700|AllianceGenome:HGNC:245	HGNC:245	ENSG00000148700	601568
123	PLIN2	ADFP|ADRP	9	9p22.1	perilipin 2	MIM:103195|HGNC:HGNC:248|Ensembl:ENSG00000147872|AllianceGenome:HGNC:248	HGNC:248	ENSG00000147872	103195
124	ADH1A	ADH1	4	4q23	alcohol dehydrogenase 1A (class I), alpha polypeptide	MIM:103700|HGNC:HGNC:249|Ensembl:ENSG00000187758|AllianceGenome:HGNC:249	HGNC:249	ENSG00000187758	103700
125	ADH1B	ADH2|HEL-S-117	4	4q23	alcohol dehydrogenase 1B (class I), beta polypeptide	MIM:103720|HGNC:HGNC:250|Ensembl:ENSG00000196616|AllianceGenome:HGNC:250	HGNC:250	ENSG00000196616	103720
126	ADH1C	ADH3	4	4q23	alcohol dehydrogenase 1C (class I), gamma polypeptide	MIM:103730|HGNC:HGNC:251|Ensembl:ENSG00000248144|AllianceGenome:HGNC:251	HGNC:251	ENSG00000248144	103730
127	ADH4	ADH-2|HEL-S-4	4	4q23	alcohol dehydrogenase 4 (class II), pi polypeptide	MIM:103740|HGNC:HGNC:252|Ensembl:ENSG00000198099|AllianceGenome:HGNC:252	HGNC:252	ENSG00000198099	103740
128	ADH5	ADH-3|ADHX|AMEDS|BMFS7|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	4	4q23	alcohol dehydrogenase 5 (class III), chi polypeptide	MIM:103710|HGNC:HGNC:253|Ensembl:ENSG00000197894|AllianceGenome:HGNC:253	HGNC:253	ENSG00000197894	103710
130	ADH6	ADH-5	4	4q23	alcohol dehydrogenase 6 (class V)	MIM:103735|HGNC:HGNC:255|Ensembl:ENSG00000172955|AllianceGenome:HGNC:255	HGNC:255	ENSG00000172955	103735
131	ADH7	-	4	4q23	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	MIM:600086|HGNC:HGNC:256|Ensembl:ENSG00000196344|AllianceGenome:HGNC:256	HGNC:256	ENSG00000196344	600086
132	ADK	AK	10	10q22.2|10q11-q24	adenosine kinase	MIM:102750|HGNC:HGNC:257|Ensembl:ENSG00000156110|AllianceGenome:HGNC:257	HGNC:257	ENSG00000156110	102750
133	ADM	AM|PAMP	11	11p15.4	adrenomedullin	MIM:103275|HGNC:HGNC:259|Ensembl:ENSG00000148926|AllianceGenome:HGNC:259	HGNC:259	ENSG00000148926	103275
134	ADORA1	RDC7	1	1q32.1	adenosine A1 receptor	MIM:102775|HGNC:HGNC:262|Ensembl:ENSG00000163485|AllianceGenome:HGNC:262	HGNC:262	ENSG00000163485	102775
135	ADORA2A	A2aR|ADORA2|RDC8	22	22q11.23	adenosine A2a receptor	MIM:102776|HGNC:HGNC:263|Ensembl:ENSG00000128271|AllianceGenome:HGNC:263	HGNC:263	ENSG00000128271	102776
136	ADORA2B	ADORA2	17	17p12	adenosine A2b receptor	MIM:600446|HGNC:HGNC:264|Ensembl:ENSG00000170425|AllianceGenome:HGNC:264	HGNC:264	ENSG00000170425	600446
140	ADORA3	A3AR	1	1p13.2	adenosine A3 receptor	MIM:600445|HGNC:HGNC:268|Ensembl:ENSG00000282608|AllianceGenome:HGNC:268	HGNC:268	ENSG00000282608	600445
141	ADPRH	ARH1|hARH1	3	3q13.33	ADP-ribosylarginine hydrolase	MIM:603081|HGNC:HGNC:269|Ensembl:ENSG00000144843|AllianceGenome:HGNC:269	HGNC:269	ENSG00000144843	603081
142	PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PARS|PPOL|Poly-PARP|pADPRT-1	1	1q42.12	poly(ADP-ribose) polymerase 1	MIM:173870|HGNC:HGNC:270|Ensembl:ENSG00000143799|AllianceGenome:HGNC:270	HGNC:270	ENSG00000143799	173870
143	PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	13	13q12.12	poly(ADP-ribose) polymerase family member 4	MIM:607519|HGNC:HGNC:271|Ensembl:ENSG00000102699|AllianceGenome:HGNC:271	HGNC:271	ENSG00000102699	607519
146	ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	20	20p13	adrenoceptor alpha 1D	MIM:104219|HGNC:HGNC:280|Ensembl:ENSG00000171873|AllianceGenome:HGNC:280	HGNC:280	ENSG00000171873	104219
147	ADRA1B	ADRA1|ALPHA1BAR	5	5q33.3	adrenoceptor alpha 1B	MIM:104220|HGNC:HGNC:278|Ensembl:ENSG00000170214|AllianceGenome:HGNC:278	HGNC:278	ENSG00000170214	104220
148	ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	8	8p21.2	adrenoceptor alpha 1A	MIM:104221|HGNC:HGNC:277|Ensembl:ENSG00000120907|AllianceGenome:HGNC:277	HGNC:277	ENSG00000120907	104221
150	ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|FPLD8	10	10q25.2	adrenoceptor alpha 2A	MIM:104210|HGNC:HGNC:281|Ensembl:ENSG00000150594|AllianceGenome:HGNC:281	HGNC:281	ENSG00000150594	104210
151	ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	2	2q11.2	adrenoceptor alpha 2B	MIM:104260|HGNC:HGNC:282|Ensembl:ENSG00000274286|AllianceGenome:HGNC:282	HGNC:282	ENSG00000274286	104260
152	ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	4	4p16.3	adrenoceptor alpha 2C	MIM:104250|HGNC:HGNC:283|Ensembl:ENSG00000184160|AllianceGenome:HGNC:283	HGNC:283	ENSG00000184160	104250
153	ADRB1	ADRB1R|B1AR|BETA1AR|FNSS2|RHR	10	10q25.3	adrenoceptor beta 1	MIM:109630|HGNC:HGNC:285|Ensembl:ENSG00000043591|AllianceGenome:HGNC:285	HGNC:285	ENSG00000043591	109630
154	ADRB2	ADRB2R|ADRBR|ARB2|B2AR|BAR|BETA2AR	5	5q32	adrenoceptor beta 2	MIM:109690|HGNC:HGNC:286|Ensembl:ENSG00000169252|AllianceGenome:HGNC:286	HGNC:286	ENSG00000169252	109690
155	ADRB3	BETA3AR	8	8p11.23	adrenoceptor beta 3	MIM:109691|HGNC:HGNC:288|Ensembl:ENSG00000188778|AllianceGenome:HGNC:288	HGNC:288	ENSG00000188778	109691
156	GRK2	ADRBK1|BARK1|BETA-ARK1	11	11q13.2	G protein-coupled receptor kinase 2	MIM:109635|HGNC:HGNC:289|Ensembl:ENSG00000173020|AllianceGenome:HGNC:289	HGNC:289	ENSG00000173020	109635
157	GRK3	ADRBK2|BARK2	22	22q12.1	G protein-coupled receptor kinase 3	MIM:109636|HGNC:HGNC:290|Ensembl:ENSG00000100077|AllianceGenome:HGNC:290	HGNC:290	ENSG00000100077	109636
158	ADSL	AMPS|ASASE|ASL	22	22q13.1	adenylosuccinate lyase	MIM:608222|HGNC:HGNC:291|Ensembl:ENSG00000239900|AllianceGenome:HGNC:291	HGNC:291	ENSG00000239900	608222
159	ADSS2	ADEH|ADSS|ADSS 2	1	1q44	adenylosuccinate synthase 2	MIM:103060|HGNC:HGNC:292|Ensembl:ENSG00000035687|AllianceGenome:HGNC:292	HGNC:292	ENSG00000035687	103060
160	AP2A1	ADTAA|AP2-ALPHA|CLAPA1	19	19q13.33	adaptor related protein complex 2 subunit alpha 1	MIM:601026|HGNC:HGNC:561|Ensembl:ENSG00000196961|AllianceGenome:HGNC:561	HGNC:561	ENSG00000196961	601026
161	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	11	11p15.5	adaptor related protein complex 2 subunit alpha 2	MIM:607242|HGNC:HGNC:562|Ensembl:ENSG00000183020|AllianceGenome:HGNC:562	HGNC:562	ENSG00000183020	607242
162	AP1B1	ADTB1|AP105A|BAM22|CLAPB2|KIDAR	22	22q12.2	adaptor related protein complex 1 subunit beta 1	MIM:600157|HGNC:HGNC:554|Ensembl:ENSG00000100280|AllianceGenome:HGNC:554	HGNC:554	ENSG00000100280	600157
163	AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	17	17q12	adaptor related protein complex 2 subunit beta 1	MIM:601025|HGNC:HGNC:563|Ensembl:ENSG00000006125|AllianceGenome:HGNC:563	HGNC:563	ENSG00000006125	601025
