hgnc_id	hgnc_symbol	ensembl_gene	ncbi_gene_id	uniprot_acc	uniprot_flag	go_flag	hpa_flag	surfy_flag	cspa_flag	n_db_votes	sonnet_full_flag	viral_agent	viral_protein	viral_entry_mode
HGNC:1665	SCARB2	ENSG00000138760	950	Q14108	0	0	0	1	0	1	1	Enterovirus 71	Capsid protein VP1	Clathrin-mediated endocytosis
HGNC:1700	CD80	ENSG00000121594	941	P33681	1	1	0	1	1	4	1	Adenovirus type B	Fiber protein	?
HGNC:1701	CD81	ENSG00000110651	975	P60033	1	1	1	0	0	3	1	Hepatitis C virus	Envelope glycoprotein E1 and E2	Clathrin-mediated endocytosis
HGNC:1705	CD86	ENSG00000114013	942	P42081	1	1	1	1	1	5	1	Adenovirus type B	Fiber protein	?
HGNC:17866	HAVCR1	ENSG00000113249	26762	Q96D42	1	1	0	1	0	3	1	Dengue virus; Hepatitis A virus; Ebolavirus; Marburg virus; Lassa virus	virion membranephosphatidylserine; Capsid protein VP1; Glycoprotein complex	Clathrin-mediated endocytosis, orMacropinocytosis; ?; Macropinocytosis; Macropinocytosis?
HGNC:17935	CD207	ENSG00000116031	50489	Q9UJ71	1	1	0	0	0	2	1	Human Influenza A virus	Hemagglutinin HA	Clathrin-mediated endocytosis[any cells] andClathrin/caveolin-independent endocytosis[in nonpolarized cells]Macropinocytosis[filamentous virion]
HGNC:18601	RTN4R	ENSG00000040608	65078	Q9BZR6	1	1	1	1	1	5	1	Mammalian reovirus	Outer capsid protein Sigma-1	Clathrin-mediated endocytosis
HGNC:19688	NECTIN4	ENSG00000143217	81607	Q96NY8	1	0	1	1	0	3	1	Measles virus	Hemagglutinin	Fusion with host cell membrane
HGNC:2032	CLDN1	ENSG00000163347	9076	O95832	1	1	0	1	0	3	1	Dengue virus; Hepatitis C virus	Small envelope protein M; Envelope glycoprotein E1 and E2	Clathrin-mediated endocytosis, orMacropinocytosis; Clathrin-mediated endocytosis
HGNC:24591	CLEC4G	ENSG00000182566	339390	Q6UXB4	1	1	0	1	0	3	1	Japanese encephalitis virus; Lymphocytic choriomeningitis virus	Envelope protein E; Glycoprotein complex	Clathrin independent endocytosis; Macropinocytosis?
HGNC:24711	MFSD6	ENSG00000151690	54842	Q6ZSS7	1	0	0	1	0	2	1	Enterovirus D68 (Rhinovirus 87)	Envelope glycoprotein VP1	?
HGNC:2559	CXADR	ENSG00000154639	1525	P78310	1	1	1	1	1	5	1	Adenovirus type A; Coxsackievirus B1 to B6	Fiber protein; Capsid protein VP1	Clathrin-mediated endocytosis; Caveolin-mediated endocytosis
HGNC:2561	CXCR4	ENSG00000121966	7852	P61073	1	1	0	1	0	3	1	HIV-1	Envelope gp120	Clathrin-mediated endocytosis
HGNC:26308	CDHR3	ENSG00000128536	222256	Q6ZTQ4	1	1	0	1	0	3	1	Rhinovirus C	Capsid protein VP1	?
HGNC:2665	CD55	ENSG00000196352	1604	P08174	1	1	0	1	1	4	1	Echovirus E6, E7, E11, E12, E20 and E21	Capsid protein VP1	
HGNC:2666	DAG1	ENSG00000173402	1605	Q14118	1	1	1	1	1	5	1	Lassa virus; Lymphocytic choriomeningitis virus	Glycoprotein complex	Macropinocytosis?
HGNC:27046	LDLRAD3	ENSG00000179241	143458	Q86YD5	1	0	1	1	0	3	1	Venezuelan Equine Encephalitis (VEEV)	Envelope glycoprotein E2	Clathrin-mediated endocytosis
HGNC:30071	KIAA0319L	ENSG00000142687	79932	Q8IZA0	1	0	0	0	0	1	1	Adeno-associated virus type 2	VP1	Clathrin-mediated endocytosis
HGNC:3009	DPP4	ENSG00000197635	1803	P27487	1	1	0	1	1	4	1	Human MERS Coronavirus	Spike glycoprotein	?
HGNC:3227	EFNB2	ENSG00000125266	1948	P52799	1	1	0	1	1	4	1	Nipah virus; Hendra virus	Glycoprotein G	Clathrin-mediated endocytosis
HGNC:3228	EFNB3	ENSG00000108947	1949	Q15768	1	1	0	1	1	4	1	Nipah virus; Hendra virus	Glycoprotein G	Clathrin-mediated endocytosis
HGNC:3386	EPHA2	ENSG00000142627	1969	P29317	1	1	1	1	1	5	1	Epstein-Barr virus (HHV-4)	Envelope glycoprotein gH-gL	Fusion with host cell membrane
HGNC:3621	FCGRT	ENSG00000104870	2217	P55899	1	1	0	1	1	4	1	Echovirus E5, E6,E7, E9, E11, E13, E25, E29, E30, E31, and E32	Capsid protein VP1	Caveolin-mediated endocytosis
HGNC:4948	HLA-DRB1	ENSG00000196126	3123	P01911	1	1	0	1	1	4	1	Epstein-Barr virus (HHV-4)	Envelope glycoprotein gp42	Fusion with host cell membrane
HGNC:500	ANPEP	ENSG00000166825	290	P15144	1	0	1	1	1	4	1	Human coronavirus 229E	Spike glycoprotein	Caveolin-mediated endocytosis
HGNC:5293	HTR2A	ENSG00000102468	3356	P28223	1	0	0	1	0	2	1	Human JC polyomavirus	VP1	Clathrin-mediated endocytosis
HGNC:5344	ICAM1	ENSG00000090339	3383	P05362	1	1	1	1	1	5	1	Coxsackievirus A21	Capsid protein VP1	?
HGNC:5348	ICAM5	ENSG00000105376	7087	Q9UMF0	1	1	0	1	1	4	1	Enterovirus D68 (Rhinovirus 87)	Envelope glycoprotein VP1	?
HGNC:5381	IDE	ENSG00000119912	3416	P14735	0	1	0	0	0	1	1	Varicella-zoster virus (HHV-3)	Envelope glycoprotein E	Fusion with host cell membrane
HGNC:6137	ITGA2	ENSG00000164171	3673	P17301	1	1	0	1	1	4	1	Human Rotavirus strain Wa; Echovirus E1; Echovirus E8	Outer capsid protein VP4; Capsid protein VP1	Clathrin-mediated endocytosis; Caveolin-mediated endocytosis; ?
HGNC:6141	ITGA5	ENSG00000161638	3678	P08648	1	1	0	1	1	4	1	Adenovirus type A, B, C, D and E; Human metapneumovirus	Penton protein; Fusion protein	Clathrin-mediated endocytosis; ?
HGNC:6142	ITGA6	ENSG00000091409	3655	P23229	1	1	0	1	1	4	1	Human papillomavirus 16	capsid protein L1	Clathrin/caveolin-independent endocytosis
HGNC:6150	ITGAV	ENSG00000138448	3685	P06756	1	1	0	1	1	4	1	Herpes simplex virus type 1; Human cytomegalovirus (HHV-5); Kaposi Sarcoma virus (HHV-8); Human parechovirus 1; West Nile virus	Envelope glycoprotein H/L; Envelope glycoprotein gH/gL; Envelope glycoprotein gB; Capsid protein VP1; virion membranephosphatidylserine?throughMFGE8bridging	Fusion with host cell membrane; Macropinocytosis; Clathrin/caveolin-independent endocytosis; Clathrin-mediated endocytosis
HGNC:6153	ITGB1	ENSG00000150093	3688	P05556	1	1	1	1	1	5	1	Epstein-Barr virus (HHV-4); Human cytomegalovirus (HHV-5); Human parvovirusB19; Human Rotavirus strain Wa; Mammalian reovirus; Echovirus E1; (+1 more)	Envelope glycoprotein BMRF2; Envelope glycoprotein gB; VP1; Outer capsid protein VP4; Outer capsid protein Sigma-1; Capsid protein VP1	Fusion with host cell membrane; Clathrin-mediated endocytosis; Caveolin-mediated endocytosis; ?
HGNC:6156	ITGB3	ENSG00000259207	3690	P05106	1	1	1	1	1	5	1	Human cytomegalovirus (HHV-5); Human parechovirus 1; West Nile virus; Hantaan virus; Human metapneumovirus	Envelope glycoprotein gH/gL; Envelope glycoprotein gB; Capsid protein VP1; virion membranephosphatidylserine?throughMFGE8bridging; Glycoprotein G; Fusion protein	Fusion with host cell membrane; Clathrin/caveolin-independent endocytosis; Clathrin-mediated endocytosis; ?
HGNC:6160	ITGB5	ENSG00000082781	3693	P18084	1	1	1	1	1	5	1	Adenovirus type A, B, C, D and E	Penton protein	Clathrin-mediated endocytosis
HGNC:6161	ITGB6	ENSG00000115221	3694	P18564	1	1	1	1	1	5	1	Herpes simplex virus type 1; Coxsackievirus A9	Envelope glycoprotein H/L; Capsid protein VP1	Fusion with host cell membrane; Clathrin/caveolin-independent endocytosis
HGNC:6502	RPSA	ENSG00000168028	3921	P08865	0	0	1	0	0	1	1	Adeno-associated virus type 2; Adeno-associated virus type 3,8 and 9; Dengue virus 1; Sindbis virus; Venezuelan Equine Encephalitis (VEEV)	VP1; Envelope protein E; Envelope glycoprotein E2	Clathrin-mediated endocytosis; Clathrin-mediated endocytosis, orMacropinocytosis
HGNC:6547	LDLR	ENSG00000130164	3949	P01130	1	1	0	1	1	4	1	Hepatitis C virus; Crimean-Congo hemorrhagic fever virus (CCHFV); Getah virus (GETV); Ross River virus (RRV); Bebaru virus (BEBV); Vesicular stomatitis virus	Envelope glycoprotein E1 and E2; Envelope glycoprotein; Envelope glycoprotein E2; Glycoprotein	Clathrin-mediated endocytosis; ?
HGNC:6953	CD46	ENSG00000117335	4179	P15529	1	1	1	1	1	5	1	Human herpesvirus 6A (HHV-6A); Adenovirus type B2 and Ad3	Envelope glycoprotein gQ1/gQ2; Fiber protein	Fusion with host cell membrane; ?
HGNC:7197	MOG	ENSG00000204655	4340	Q16653	1	1	0	1	0	3	1	Rubella virus	Envelope glycoprotein E2	Clathrin-mediated endocytosis
HGNC:7542	MXRA8	ENSG00000162576	54587	Q9BRK3	1	1	0	1	1	4	1	Chikungunya virus	Envelope glycoprotein E2	
HGNC:7656	NCAM1	ENSG00000149294	4684	P13591	1	1	1	1	1	5	1	Rabies virus	Glycoprotein G	Clathrin-mediated endocytosis
HGNC:7897	NPC1	ENSG00000141458	4864	O15118	0	0	0	1	1	2	0	Ebolavirus	Glycoprotein	Macropinocytosis
HGNC:8655	PCDH1	ENSG00000156453	5097	Q08174	1	0	1	1	1	4	1	Sin nombre virus; Andes virus	Glycoprotein G	
HGNC:8912	PHB1	ENSG00000167085	5245	P35232	0	1	0	0	0	1	1	Chikungunya virus	Envelope glycoprotein E2	
HGNC:905	AXL	ENSG00000167601	558	P30530	1	1	1	1	1	5	1	Zika virus; Dengue virus; Ebolavirus; Lymphocytic choriomeningitis virus	virion membranephosphatidylserine	?; Clathrin-mediated endocytosis, orMacropinocytosis; Macropinocytosis?
HGNC:9705	PVR	ENSG00000073008	5817	P15151	1	1	1	1	1	5	1	Pseudorabies virus; Poliovirus	Envelope glycoprotein gD; Capsid protein VP1	Fusion with host cell membrane; Clathrin/caveolin-independent endocytosisandCaveolin-mediated endocytosis
HGNC:9706	NECTIN1	ENSG00000110400	5818	Q15223	1	0	0	1	1	3	1	Herpes simplex virus type 1; Herpes simplex virus type 2; Pseudorabies virus	Envelope glycoprotein D; Envelope glycoprotein gD	Fusion with host cell membrane
HGNC:9707	NECTIN2	ENSG00000130202	5819	Q92692	1	1	1	1	1	5	1	Herpes simplex virus type 1; Herpes simplex virus type 2; Pseudorabies virus	Envelope glycoprotein D; Envelope glycoprotein gD	Fusion with host cell membrane
