therapeutic	hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	arms	pdb_ids	has_extracellular_site	match_methods
Ipilimumab	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	5tru;5xj3;6rp8;7elx	1	AACDB_exact_VH_VL;exact_VH_VL
Isatuximab	HGNC:1667	CD38	P28907	ENSG00000004468	952	0	4cmh	1	exact_VH_VL
Itanistomig	HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	0	5ggt	1	exact_VH_VL
Itepekimab	HGNC:16028	IL33	O95760	ENSG00000137033	90865	0	9x05	0	exact_VH_VL
Lirilumab	HGNC:6331	KIR2DL3	P43628	ENSG00000243772	3804	0	8tui	1	exact_VH_VL
Lorigerlimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	9eht	1	exact_VH_VL
Lumretuzumab	HGNC:3431	ERBB3	P21860	ENSG00000065361	2065	0	4leo	1	exact_VH_VL
Magrolimab	HGNC:1682	CD47	Q08722	ENSG00000196776	961	0	5iwl	1	AACDB_exact_VH_VL;exact_VH_VL
Maridebart	HGNC:4271	GIPR	P48546	ENSG00000010310	2696	0	6dkj	1	exact_VH_VL
Mogamulizumab	HGNC:1605	CCR4	P51679	ENSG00000183813	1233	0	9ull;9ulm	1	exact_VH_VL
Mosunetuzumab	HGNC:1674	CD3E	P07766	ENSG00000198851	916	0	9t46	1	exact_VH_VL
Muromonab	HGNC:1674	CD3E	P07766	ENSG00000198851	916	0	1sy6;9irs	1	exact_VH_VL
Necitumumab	HGNC:3236	EGFR	P00533	ENSG00000146648	1956	0	3b2u;3b2v	1	exact_VH_VL
Nemolizumab	HGNC:18969	IL31RA	Q8NI17	ENSG00000164509	133396	0	9eza	1	exact_VH_VL
Nesfrotamig	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Nipocalimab	HGNC:3621	FCGRT	P55899	ENSG00000104870	2217	0	9mi6	1	exact_VH_VL
Nipocalimab	HGNC:914	B2M	P61769	ENSG00000166710	567	0	9mi6	0	exact_VH_VL
Nisevokitug	HGNC:11766	TGFB1	P01137	ENSG00000105329	7040	0	13fj	0	exact_VH_VL
Nivolumab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	5ggr;5wt9	1	exact_VH_VL
Obinutuzumab	HGNC:7315	MS4A1	P11836	ENSG00000156738	931	0	3pp4	1	exact_VH_VL
Ociperlimab	HGNC:26838	TIGIT	Q495A1	ENSG00000181847	201633	0	8jel;8jen	1	exact_VH_VL
Ofatumumab	HGNC:7315	MS4A1	P11836	ENSG00000156738	931	0	6y92	0	exact_VH_VL
Onartuzumab	HGNC:7029	MET	P08581	ENSG00000105976	4233	0	4k3j	1	exact_VH_VL
Ontamalimab	HGNC:6765	MADCAM1	Q13477	ENSG00000099866	8174	0	4hcr	1	exact_VH_VL
Opicinumab	HGNC:21205	LINGO1	Q96FE5	ENSG00000169783	84894	0	4oqt	1	exact_VH_VL
Orilanolimab	HGNC:3621	FCGRT	P55899	ENSG00000104870	2217	0	6nha	1	exact_VH_VL
Orilanolimab	HGNC:914	B2M	P61769	ENSG00000166710	567	0	6nha	0	exact_VH_VL
Ozoralizumab	HGNC:11892	TNF	P01375	ENSG00000232810	7124	0	8z8m	1	exact_VH_VL
Palverafusp	HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	0	5x8l	1	exact_VH_VL
Pamlectabart	HGNC:11913	TNFRSF17	Q02223	ENSG00000048462	608	0	8qyb	1	exact_VH_VL
Pateclizumab	HGNC:6709	LTA	P01374	ENSG00000226979	4049	0	4mxv;4mxw	0	exact_VH_VL
Pembrolizumab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	5b8c;5ggs;5jxe	1	exact_VH_VL
Pertuzumab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1s78;6oge;8ffj;8pwh;8q6j	1	exact_VH_VL
Ponezumab	HGNC:620	APP	P05067	ENSG00000142192	351	0	3u0t	0	exact_VH_VL
Porustobart	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	7dv4	1	exact_VH_VL
Prezalumab	HGNC:17087	ICOSLG	O75144	ENSG00000160223	23308	0	6x4t	1	exact_VH_VL
Pumitamig2	HGNC:17635	CD274	Q9NZQ7	ENSG00000120217	29126	0	7czd	1	exact_VH_VL
Ramucirumab	HGNC:6307	KDR	P35968	ENSG00000128052	3791	0	3s36;3s37	1	exact_VH_VL
Ravagalimab	HGNC:11919	CD40	P25942	ENSG00000101017	958	0	6pe8	1	exact_VH_VL
Renvistobart	HGNC:26838	TIGIT	Q495A1	ENSG00000181847	201633	0	8szy	1	exact_VH_VL
Retifanlimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	9eht	1	exact_VH_VL
Ripertamab	HGNC:7315	MS4A1	P11836	ENSG00000156738	931	0	2osl;6vja;6y90;8vgn	1	exact_VH_VL
Rituximab	HGNC:7315	MS4A1	P11836	ENSG00000156738	931	0	2osl;6vja;6y90;8vgn	1	exact_VH_VL
Rozanolixizumab	HGNC:3621	FCGRT	P55899	ENSG00000104870	2217	0	6fgb	1	exact_VH_VL
Rozanolixizumab	HGNC:914	B2M	P61769	ENSG00000166710	567	0	6fgb	0	exact_VH_VL
Rozibafusp	HGNC:17087	ICOSLG	O75144	ENSG00000160223	23308	0	6x4t	1	exact_VH_VL
Runimotamab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Ruplizumab	HGNC:11935	CD40LG	P29965	ENSG00000102245	959	0	1i9r	1	exact_VH_VL
Sacituzumab	HGNC:11530	TACSTD2	P09758	ENSG00000184292	4070	0	9pi9	1	exact_VH_VL
Safimestomig	HGNC:1682	CD47	Q08722	ENSG00000196776	961	0	7xjf	1	exact_VH_VL
Sarilumab	HGNC:6019	IL6R	P08887	ENSG00000160712	3570	0	8iow	1	exact_VH_VL
Sasanlimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	6xkr	1	exact_VH_VL
Serplulimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	7e9b	1	exact_VH_VL
Sovipostobart	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	5tru;5xj3;6rp8;7elx	1	AACDB_exact_VH_VL;exact_VH_VL
Spesolimab	HGNC:5999	IL1RL2	Q9HB29	ENSG00000115598	8808	0	6u6u;9eth;9eti	1	exact_VH_VL
Sutacimig	HGNC:20434	TREML1	Q86YW5	ENSG00000161911	340205	1	8che	1	exact_VH_VL
Talacotuzumab	HGNC:6012	IL3RA	P26951	ENSG00000185291	3563	0	4jzj	1	exact_VH_VL
Talquetamab	HGNC:13310	GPRC5D	Q9NZD1	ENSG00000111291	55507	0	9ima	0	exact_VH_VL
Tamrintamab	HGNC:23029	DPEP3	Q9H4B8	ENSG00000141096	64180	0	6vgr	0	exact_VH_VL
Tarperprumig	HGNC:8864	CFP	P27918	ENSG00000126759	5199	1	8q6r	0	exact_VH_VL
Tazlestobart	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	5tru;5xj3;6rp8;7elx	1	AACDB_exact_VH_VL;exact_VH_VL
Tebotelimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	9eht	1	exact_VH_VL
Teclistamab	HGNC:11913	TNFRSF17	Q02223	ENSG00000048462	608	0	12er	1	exact_VH_VL
Tegoprubart	HGNC:11935	CD40LG	P29965	ENSG00000102245	959	0	1i9r	1	exact_VH_VL
Teneliximab	HGNC:11919	CD40	P25942	ENSG00000101017	958	0	5dmi	1	exact_VH_VL
Tilogotamab	HGNC:11905	TNFRSF10B	O14763	ENSG00000120889	8795	0	6t3j	1	exact_VH_VL
Timigutuzumab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Tiragolumab	HGNC:26838	TIGIT	Q495A1	ENSG00000181847	201633	0	8jeo;8vte	1	exact_VH_VL
Tislelizumab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	7bxa;7cgw	1	exact_VH_VL
Tocilizumab	HGNC:6019	IL6R	P08887	ENSG00000160712	3570	0	8j6f	1	exact_VH_VL
Toripalimab	HGNC:8760	PDCD1	Q15116	ENSG00000188389	5133	0	6jbt	1	exact_VH_VL
Tozorakimab	HGNC:16028	IL33	O95760	ENSG00000137033	90865	0	9wwh;9x05;9x0j	0	exact_VH_VL
Trabikibart	HGNC:2436	CSF2RB	P32927	ENSG00000100368	1439	0	5dwu	1	exact_VH_VL
Trastuzumab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	0	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Tremelimumab	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	5ggv	1	exact_VH_VL
Trontinemab	HGNC:620	APP	P05067	ENSG00000142192	351	0	5csz	1	exact_VH_VL
Tusamitamab	HGNC:1817	CEACAM5	P06731	ENSG00000105388	1048	0	8bw0	0	exact_VH_VL
Urelumab	HGNC:11924	TNFRSF9	Q07011	ENSG00000049249	3604	0	6mhr	1	exact_VH_VL
Utomilumab	HGNC:11924	TNFRSF9	Q07011	ENSG00000049249	3604	0	6a3w;6mi2	1	exact_VH_VL
Velaprumig	HGNC:11935	CD40LG	P29965	ENSG00000102245	959	1	1i9r	1	exact_VH_VL
Venanprubart	HGNC:21087	BTLA	Q7Z6A9	ENSG00000186265	151888	0	8f6o	1	exact_VH_VL
Vesencumab	HGNC:8004	NRP1	O14786	ENSG00000099250	8829	0	2qqn	1	exact_VH_VL
Vibostolimab	HGNC:26838	TIGIT	Q495A1	ENSG00000181847	201633	0	8vtd	1	exact_VH_VL
Vixticibart	HGNC:7943	NPR1	P16066	ENSG00000169418	4881	0	8tg9;8tga;9dzh;9dzj;9dzk	1	exact_VH_VL
Volrustomig	HGNC:2505	CTLA4	P16410	ENSG00000163599	1493	0	5ggv	1	exact_VH_VL
Vonlerolizumab	HGNC:11918	TNFRSF4	P43489	ENSG00000186827	7293	0	6ogx;6okn;7yk4	1	exact_VH_VL
Vopikitug	HGNC:6008	IL2RA	P01589	ENSG00000134460	3559	0	6yio	1	exact_VH_VL
Xaluritamig	HGNC:11378	STEAP1	Q9UHE8	ENSG00000164647	26872	0	8ucd	0	exact_VH_VL
Zanidatamab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	1	1n8z;6oge;8pwh;8q6j	1	exact_VH_VL
Zenocutuzumab	HGNC:3430	ERBB2	P04626	ENSG00000141736	2064	1	5o4g	1	exact_VH_VL
Zenocutuzumab	HGNC:3431	ERBB3	P21860	ENSG00000065361	2065	0	5o4o;5o7p	1	exact_VH_VL
Zeripatamig	HGNC:1682	CD47	Q08722	ENSG00000196776	961	0	8rp8	1	Thera_100pct_structure_chain
