hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	binder_target_location	target_unit	target_scope	partner_type	partner_id	partner_members	source_rows	references	directions	exact_pair_assessed	assessment_scope	same_pair_structural_any_site	same_pair_structural_external_site	same_pair_region_external	same_pair_structural_or_region_external	complex_component_contact_support	support_pdb_ids	region_references
HGNC:17601	CADM3	Q8N126	ENSG00000162706	57863	membrane	Q8N126	protein	protein	Q9H4G0	Q9H4G0	15	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:17601	CADM3	Q8N126	ENSG00000162706	57863	membrane	Q8N126	protein	protein	Q9NQS3	Q9NQS3	16	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:17664	NECTIN3	Q9NQS3	ENSG00000177707	25945	membrane	Q9NQS3	protein	protein	Q8N126	Q8N126	16	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1814	CEACAM1	P13688	ENSG00000079385	634	membrane_and_secreted	P13688	protein	protein	Q9NNX6	Q9NNX6	17	PMID:16282604;PMID:16246332	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1641	CD209	Q9NNX6	ENSG00000090659	30835	membrane_and_secreted	Q9NNX6	protein	protein	P13688	P13688	17	PMID:16282604;PMID:16246332	Adhesion-Adhesion	1	single_protein_pair	0	0	1	1	0		pubmed:35922511|imex:IM-30342
HGNC:1814	CEACAM1	P13688	ENSG00000079385	634	membrane_and_secreted	P13688	protein	protein	P40199	P40199	18	PMID:21982860	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1818	CEACAM6	P40199	ENSG00000086548	4680	membrane	P40199	protein	protein	P13688	P13688	18	PMID:21982860	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1814	CEACAM1	P13688	ENSG00000079385	634	membrane_and_secreted	P13688	protein	protein	P31997	P31997	19	PMID:24743304	Adhesion-Adhesion	1	single_protein_pair	0	0	1	1	0		pubmed:32822567|imex:IM-30326
HGNC:1820	CEACAM8	P31997	ENSG00000124469	1088	membrane	P31997	protein	protein	P13688	P13688	19	PMID:24743304	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1814	CEACAM1	P13688	ENSG00000079385	634	membrane_and_secreted	P13688	protein	protein	P16581	P16581	20	PMID:1378450	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:10718	SELE	P16581	ENSG00000007908	6401	membrane	P16581	protein	protein	P13688	P13688	20	PMID:1378450	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1817	CEACAM5	P06731	ENSG00000105388	1048	membrane	P06731	protein	protein	P15813	P15813	21	PMID:24104458	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1637	CD1D	P15813	ENSG00000158473	912	membrane	P15813	protein	protein	P06731	P06731	21	PMID:24104458	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1817	CEACAM5	P06731	ENSG00000105388	1048	membrane	P06731	protein	protein	P01732	P01732	22	PMID:24104458	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1706	CD8A	P01732	ENSG00000153563	925	membrane_and_secreted	P01732	protein	protein	P06731	P06731	22	PMID:24104458	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1817	CEACAM5	P06731	ENSG00000105388	1048	membrane	P06731	protein	protein	P13688	P13688	23	Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1814	CEACAM1	P13688	ENSG00000079385	634	membrane_and_secreted	P13688	protein	protein	P06731	P06731	23	Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24987108	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1817	CEACAM5	P06731	ENSG00000105388	1048	membrane	P06731	protein	protein	P40199	P40199	24	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1818	CEACAM6	P40199	ENSG00000086548	4680	membrane	P40199	protein	protein	P06731	P06731	24	uniprot	Adhesion-Adhesion	1	single_protein_pair	0	0	0	0	0		
HGNC:1818	CEACAM6	P40199	ENSG00000086548	4680	membrane	P40199	protein	protein	P40199	P40199	25	PMID:11590190	Adhesion-Adhesion	0	self_interface_not_audited	0	0	0	0	0		
HGNC:1820	CEACAM8	P31997	ENSG00000124469	1088	membrane	P31997	protein	protein	P40199	P40199	26	PMID:11590190	Adhesion-Adhesion	1	single_protein_pair	1	1	0	1	0	4wtz;4yiq	
HGNC:1818	CEACAM6	P40199	ENSG00000086548	4680	membrane	P40199	protein	protein	P31997	P31997	26	PMID:11590190	Adhesion-Adhesion	1	single_protein_pair	1	1	1	1	0	4wtz;4yiq	pubmed:32822567|imex:IM-30326
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	Q03692	Q03692	27	uniprot	Ligand-Receptor	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	Q03692	Q03692	27	uniprot	Ligand-Receptor	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	Q03692	Q03692	28	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	Q03692	Q03692	28	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	Q03692	Q03692	29	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	Q03692	Q03692	29	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	Q03692	Q03692	30	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	Q03692	Q03692	30	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	P12107	P12107	31	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	P12107	P12107	31	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	P12107	P12107	32	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	P12107	P12107	32	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	P12107	P12107	33	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	P12107	P12107	33	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	P12107	P12107	34	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	P12107	P12107	34	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	P13942	P13942	35	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	P13942	P13942	35	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	P13942	P13942	36	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	P13942	P13942	36	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	P13942	P13942	37	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	P13942	P13942	37	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	P13942	P13942	38	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	P13942	P13942	38	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	Q99715	Q99715	39	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	Q99715	Q99715	39	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	Q99715	Q99715	40	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	Q99715	Q99715	40	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	Q99715	Q99715	41	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	Q99715	Q99715	41	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	Q99715	Q99715	42	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	Q99715	Q99715	42	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2190	COL13A1	Q5TAT6	ENSG00000197467	1305	membrane	Q5TAT6	protein	complex	integrin_a1b1_complex	P05556;P56199	43	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	Q5TAT6	Q5TAT6	43	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	Q5TAT6	Q5TAT6	43	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2190	COL13A1	Q5TAT6	ENSG00000197467	1305	membrane	Q5TAT6	protein	complex	integrin_a10b1_complex	O75578;P05556	44	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	Q5TAT6	Q5TAT6	44	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	Q5TAT6	Q5TAT6	44	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2190	COL13A1	Q5TAT6	ENSG00000197467	1305	membrane	Q5TAT6	protein	complex	integrin_a11b1_complex	P05556;Q9UKX5	45	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	Q5TAT6	Q5TAT6	45	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	Q5TAT6	Q5TAT6	45	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2190	COL13A1	Q5TAT6	ENSG00000197467	1305	membrane	Q5TAT6	protein	complex	integrin_a2b1_complex	P05556;P17301	46	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	Q5TAT6	Q5TAT6	46	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	Q5TAT6	Q5TAT6	46	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	Q05707	Q05707	47	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	Q05707	Q05707	47	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	Q05707	Q05707	48	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	Q05707	Q05707	48	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	Q05707	Q05707	49	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	Q05707	Q05707	49	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	Q05707	Q05707	50	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	Q05707	Q05707	50	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	P39059	P39059	51	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	P39059	P39059	51	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	P39059	P39059	52	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	P39059	P39059	52	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	P39059	P39059	53	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	P39059	P39059	53	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	P39059	P39059	54	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	P39059	P39059	54	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	Q07092	Q07092	55	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	Q07092	Q07092	55	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	Q07092	Q07092	56	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	Q07092	Q07092	56	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	Q07092	Q07092	57	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	Q07092	Q07092	57	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	Q07092	Q07092	58	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	Q07092	Q07092	58	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2194	COL17A1	Q9UMD9	ENSG00000065618	1308	membrane_inferred_and_secreted	Q9UMD9	protein	complex	integrin_a1b1_complex	P05556;P56199	59	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	Q9UMD9	Q9UMD9	59	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	Q9UMD9	Q9UMD9	59	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2194	COL17A1	Q9UMD9	ENSG00000065618	1308	membrane_inferred_and_secreted	Q9UMD9	protein	complex	integrin_a10b1_complex	O75578;P05556	60	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6135	ITGA10	O75578	ENSG00000143127	8515	membrane_inferred	integrin_a10b1_complex	complex	protein	Q9UMD9	Q9UMD9	60	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a10b1_complex	complex	protein	Q9UMD9	Q9UMD9	60	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2194	COL17A1	Q9UMD9	ENSG00000065618	1308	membrane_inferred_and_secreted	Q9UMD9	protein	complex	integrin_a11b1_complex	P05556;Q9UKX5	61	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a11b1_complex	complex	protein	Q9UMD9	Q9UMD9	61	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6136	ITGA11	Q9UKX5	ENSG00000137809	22801	membrane_inferred	integrin_a11b1_complex	complex	protein	Q9UMD9	Q9UMD9	61	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2194	COL17A1	Q9UMD9	ENSG00000065618	1308	membrane_inferred_and_secreted	Q9UMD9	protein	complex	integrin_a2b1_complex	P05556;P17301	62	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a2b1_complex	complex	protein	Q9UMD9	Q9UMD9	62	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6137	ITGA2	P17301	ENSG00000164171	3673	membrane_inferred	integrin_a2b1_complex	complex	protein	Q9UMD9	Q9UMD9	62	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:2195	COL18A1	P39060	ENSG00000182871	80781	secreted_only	P39060	protein	complex	integrin_a1b1_complex	P05556;P56199	63	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6153	ITGB1	P05556	ENSG00000150093	3688	membrane	integrin_a1b1_complex	complex	protein	P39060	P39060	63	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
HGNC:6134	ITGA1	P56199	ENSG00000213949	3672	membrane_inferred	integrin_a1b1_complex	complex	protein	P39060	P39060	63	uniprot	Adhesion-Adhesion	0	complex_component_support_only	0	0	0	0	0		
