source	record_id	pdb_id	uniprot_acc	therapeutic	arm	status	error
AACDB	520	3iu3	P01589			mapped	
AACDB	521	3iu3	P01589			mapped	
AACDB	565	3kj6	P07550			mapped	
AACDB	572	3l95	P46531			mapped	
AACDB	573	3l95	P46531			mapped	
AACDB	588	3mxw	Q15465			mapped	
AACDB	589	3n85	P04626			mapped	
AACDB	590	3nfp	P01589			mapped	
AACDB	591	3nfp	P01589			mapped	
AACDB	596	3nh7	P36894			mapped	
AACDB	597	3nh7	P36894			mapped	
AACDB	598	3nh7	P36894			mapped	
AACDB	599	3nh7	P36894			mapped	
AACDB	600	3nid	P08514			mapped	
AACDB	601	3nid	P08514			mapped	
AACDB	602	3nif	P08514			mapped	
AACDB	603	3nif	P08514			mapped	
AACDB	604	3nig	P08514			mapped	
AACDB	605	3nig	P08514			mapped	
AACDB	606	3nps	Q9Y5Y6			no_unambiguous_canonical_site	
AACDB	607	3o2d	P01730			mapped	
AACDB	614	3p0y	P00533			mapped	
AACDB	615	3p11	P21860			mapped	
AACDB	626	3q3g	P11215			mapped	
AACDB	627	3q3g	P11215			mapped	
AACDB	628	3q3g	P11215			mapped	
AACDB	629	3q3g	P11215			mapped	
AACDB	630	3qa3	P11215			mapped	
AACDB	631	3qa3	P11215			mapped	
AACDB	632	3qa3	P11215			mapped	
AACDB	633	3qa3	P11215			mapped	
AACDB	635	3qum	P07288			no_unambiguous_canonical_site	
AACDB	636	3qum	P07288			mapped	
AACDB	637	3qum	P07288			mapped	
AACDB	638	3qum	P07288			mapped	
AACDB	640	3r1g	P56817			mapped	
AACDB	641	3raj	P28907			mapped	
AACDB	646	3s35	P35968			mapped	
AACDB	647	3s37	P35968			mapped	
AACDB	650	3skj	P29317			mapped	
AACDB	651	3skj	P29317			mapped	
AACDB	654	3t2n	P05981			mapped	
AACDB	655	3t2n	P05981			mapped	
AACDB	656	3thm	P25445			mapped	
AACDB	657	3tje	P25445			mapped	
AACDB	665	3u9u	Q15303			mapped	
AACDB	670	3ulu	O15455			mapped	
AACDB	671	3ulu	O15455			mapped	
AACDB	672	3ulu	O15455			mapped	
AACDB	680	3v4p	P26010			mapped	
AACDB	681	3v4p	P26010			mapped	
AACDB	682	3v6o	P48357			mapped	
AACDB	683	3v6o	P48357			mapped	
AACDB	686	3vg9	P29274			mapped	
AACDB	687	3vga	P29274			mapped	
AACDB	690	3w11	P06213			mapped	
AACDB	693	3wih	Q9Y6N7			mapped	
AACDB	694	3wih	Q9Y6N7			mapped	
AACDB	695	3wsq	P04626			mapped	
AACDB	696	3x3f	O14763			mapped	
AACDB	709	4cmh	P28907			mapped	
AACDB	712	4dtg	P10646			mapped	
AACDB	720	4f9l	O00481			mapped	
AACDB	721	4f9l	O00481			mapped	
AACDB	722	4f9p	O00481			mapped	
AACDB	758	4ht1	O43508			mapped	
AACDB	759	4hwb	P78552			mapped	
AACDB	764	4ij3	O00391			mapped	
AACDB	778	4k94	P10721			mapped	
AACDB	780	4kml	P04156			mapped	
AACDB	781	4krl	P00533			mapped	
AACDB	782	4krm	P00533			mapped	
AACDB	783	4krm	P00533			mapped	
AACDB	784	4krm	P00533			mapped	
AACDB	785	4krm	P00533			mapped	
AACDB	786	4krm	P00533			mapped	
AACDB	787	4krm	P00533			mapped	
AACDB	788	4kro	P00533			mapped	
AACDB	789	4kro	P00533			mapped	
AACDB	790	4krp	P00533			mapped	
AACDB	791	4krp	P00533			mapped	
AACDB	794	4kv5	P01137			mapped	
AACDB	795	4kv5	P01137			mapped	
AACDB	796	4kv5	P01137			mapped	
AACDB	797	4kv5	P01137			mapped	
AACDB	813	4lmq	P48061			mapped	
AACDB	814	4lmq	P48061			mapped	
AACDB	828	4m7l	P13726			mapped	
AACDB	844	4n90	O14763			mapped	
AACDB	845	4n90	O14763			mapped	
AACDB	846	4n90	O14763			mapped	
AACDB	851	4n9o	P04156			mapped	
AACDB	858	4o02	P06756			mapped	
AACDB	867	4od2	O14763			mapped	
AACDB	892	4q6i	P01730			mapped	
AACDB	893	4q6i	P01730			mapped	
AACDB	894	4q6i	P01730			mapped	
AACDB	895	4q6i	P01730			mapped	
AACDB	896	4qci	P01127			mapped	
AACDB	897	4qci	P01127			mapped	
AACDB	905	4qti	Q03405			mapped	
AACDB	952	4s10	P06396			no_unambiguous_canonical_site	
AACDB	953	4s10	P06396			mapped	
AACDB	1002	4uu9	P01031			mapped	
AACDB	1003	4uu9	P01031			mapped	
AACDB	1021	4wfe	Q9NYG8			mapped	
AACDB	1022	4wfe	Q9NYG8			mapped	
AACDB	1023	4wff	Q9NYG8			mapped	
AACDB	1024	4wff	Q9NYG8			mapped	
AACDB	1025	4wfg	Q9NYG8			mapped	
AACDB	1026	4wfg	Q9NYG8			mapped	
AACDB	1027	4wfh	Q9NYG8			mapped	
AACDB	1028	4wfh	Q9NYG8			mapped	
AACDB	1029	4wv1	P21802			mapped	
AACDB	1030	4wv1	P21802			mapped	
AACDB	1091	4y5v	P19235			mapped	
AACDB	1092	4y5v	P19235			mapped	
AACDB	1093	4y5v	P19235			mapped	
AACDB	1094	4y5x	P19235			mapped	
AACDB	1095	4y5x	P19235			mapped	
AACDB	1096	4y5x	P19235			mapped	
AACDB	1097	4y5x	P19235			mapped	
AACDB	1098	4y5y	P19235			mapped	
AACDB	1099	4y5y	P19235			mapped	
AACDB	1131	4yzf	P02730			mapped	
AACDB	1132	4yzf	P02730			mapped	
AACDB	1133	4yzf	P02730			mapped	
AACDB	1134	4yzf	P02730			mapped	
AACDB	1143	4z7n	P08514			mapped	
AACDB	1144	4z7n	P08514			mapped	
AACDB	1145	4z7o	P08514			mapped	
AACDB	1146	4z7o	P08514			mapped	
AACDB	1147	4z7q	P08514			mapped	
AACDB	1148	4z7q	P08514			mapped	
AACDB	1153	4zfo	Q02223			mapped	
AACDB	1154	4zfo	Q02223			mapped	
AACDB	1162	4zso	Q68D85			mapped	
AACDB	1163	4zso	Q68D85			mapped	
AACDB	1164	4zxb	P06213			mapped	
AACDB	1165	4zxb	P06213			mapped	
AACDB	1193	5b71	P01031			mapped	
AACDB	1194	5b71	P01031			mapped	
AACDB	1195	5b8c	Q15116			mapped	
AACDB	1196	5b8c	Q15116			mapped	
AACDB	1197	5b8c	Q15116			mapped	
AACDB	1198	5b8c	Q15116			mapped	
AACDB	1205	5bo1	P78504			mapped	
AACDB	1206	5bo1	P78504			mapped	
AACDB	1233	5cus	P21860			mapped	
AACDB	1234	5cus	P21860			mapped	
AACDB	1235	5cus	P21860			mapped	
AACDB	1236	5cus	P21860			mapped	
AACDB	1237	5czv	Q9UM47			mapped	
AACDB	1238	5czx	Q9UM47			mapped	
AACDB	1239	5czx	Q9UM47			mapped	
AACDB	1256	5dfv	P60033			mapped	
AACDB	1257	5dfv	P60033			mapped	
AACDB	1258	5dfw	P60033			mapped	
AACDB	1264	5dmi	P25942			mapped	
AACDB	1265	5dmj	P25942			mapped	
AACDB	1266	5dmj	P25942			mapped	
AACDB	1281	5e8d	O14944			mapped	
AACDB	1282	5e8e	P00734			mapped	
AACDB	1283	5e94	P43220			mapped	
AACDB	1284	5e94	P43220			mapped	
AACDB	1299	5f1k	P28907			mapped	
AACDB	1300	5f1k	P28907			mapped	
AACDB	1301	5f1o	P28907			mapped	
AACDB	1302	5f21	P28907			mapped	
AACDB	1343	5fb8	Q14005			mapped	
AACDB	1350	5fuc	P08887			mapped	
AACDB	1351	5fuc	P08887			mapped	
AACDB	1370	5ggr	Q15116			mapped	
AACDB	1371	5ggr	Q15116			mapped	
AACDB	1372	5ggs	Q15116			mapped	
AACDB	1373	5ggs	Q15116			mapped	
AACDB	1374	5ggt	Q9NZQ7			mapped	
AACDB	1375	5ggv	P16410			mapped	
AACDB	1380	5gs0	O15455			mapped	
AACDB	1381	5gs0	O15455			mapped	
AACDB	1394	5hbt	P02708			mapped	
AACDB	1398	5hdb	P08514			mapped	
AACDB	1399	5hdb	P08514			mapped	
AACDB	1401	5hgg	P00749			no_unambiguous_canonical_site	
AACDB	1402	5hgg	P00749			no_unambiguous_canonical_site	
AACDB	1432	5ihl	P25942			mapped	
AACDB	1433	5ihl	P25942			mapped	
AACDB	1434	5ihl	P25942			mapped	
AACDB	1435	5ihl	P25942			mapped	
AACDB	1438	5imk	Q9Y279			mapped	
AACDB	1439	5iml	Q9Y279			mapped	
AACDB	1442	5iwl	Q08722			mapped	
AACDB	1443	5iwl	Q08722			mapped	
AACDB	1450	5j3h	P06213			mapped	
AACDB	1460	5jmo	P09958			mapped	
AACDB	1461	5jmo	P09958			mapped	
AACDB	1478	5jyl	P22223			mapped	
AACDB	1479	5jyl	P22223			mapped	
AACDB	1480	5jym	P22223			mapped	
AACDB	1481	5jym	P22223			mapped	
AACDB	1526	5kqv	P06213			no_unambiguous_canonical_site	
AACDB	1527	5kqv	P06213			no_unambiguous_canonical_site	
AACDB	1554	5lsp	P08581			mapped	
AACDB	1555	5lsp	P08581			mapped	
AACDB	1558	5lwy	Q86V24			no_unambiguous_canonical_site	
AACDB	1559	5lxg	Q96A54			no_unambiguous_canonical_site	
AACDB	1580	5mo9	Q16620			mapped	
AACDB	1588	5my6	P04626			mapped	
AACDB	1598	5ngv	Q13705			mapped	
AACDB	1599	5nh3	P27037			mapped	
AACDB	1600	5nh3	P27037			mapped	
AACDB	1601	5nhr	Q13705			mapped	
AACDB	1602	5nhr	Q13705			mapped	
AACDB	1603	5nj3	Q9UNQ0			mapped	
AACDB	1604	5nj3	Q9UNQ0			mapped	
AACDB	1612	5njg	Q9UNQ0			mapped	
AACDB	1613	5njg	Q9UNQ0			mapped	
AACDB	1614	5nmv	P10646			mapped	
AACDB	1630	5o4g	P04626			mapped	
AACDB	1631	5o4o	P21860			mapped	
AACDB	1634	5o7p	P21860			mapped	
AACDB	1647	5sx4	P00533			no_unambiguous_canonical_site	
AACDB	1648	5sx4	P00533			no_unambiguous_canonical_site	
AACDB	1649	5sx5	P00533			no_unambiguous_canonical_site	
AACDB	1650	5sx5	P00533			no_unambiguous_canonical_site	
AACDB	1675	5th9	P14780			mapped	
AACDB	1676	5th9	P14780			mapped	
AACDB	1677	5th9	P14780			mapped	
AACDB	1686	5tl5	P26842			mapped	
AACDB	1687	5tlj	P26842			mapped	
AACDB	1688	5tlj	P26842			mapped	
AACDB	1689	5tlk	P26842			mapped	
AACDB	1690	5tlk	P26842			mapped	
AACDB	1691	5tlk	P26842			mapped	
AACDB	1692	5tlk	P26842			mapped	
AACDB	1700	5tru	P16410			mapped	
AACDB	1701	5tru	P16410			mapped	
AACDB	1705	5tz2	Q08722			mapped	
AACDB	1706	5tzt	Q08722			mapped	
AACDB	1707	5tzt	Q08722			mapped	
AACDB	1708	5tzu	Q08722			mapped	
AACDB	1805	5veb	P55285			mapped	
AACDB	1806	5veb	P55285			mapped	
AACDB	1827	5vl3	P20273			mapped	
AACDB	1828	5vl3	P20273			mapped	
AACDB	1829	5vl3	P20273			mapped	
AACDB	1830	5vl3	P20273			mapped	
AACDB	1831	5vl7	Q8NBP7			mapped	
AACDB	1832	5vlp	Q8NBP7			mapped	
AACDB	1856	5w06	P13726			mapped	
AACDB	1922	5whk	P55899			mapped	
AACDB	1923	5wi9	Q86Z14			mapped	
AACDB	1924	5wi9	Q86Z14			mapped	
AACDB	1929	5wt9	Q15116			mapped	
AACDB	1931	5wux	P01375			mapped	
AACDB	1932	5wux	P01375			mapped	
AACDB	1933	5wux	P01375			mapped	
AACDB	1934	5x0t	P35613			mapped	
AACDB	1935	5x0t	P35613			mapped	
AACDB	1944	5x8l	Q9NZQ7			mapped	
AACDB	1945	5x8l	Q9NZQ7			mapped	
AACDB	1946	5x8l	Q9NZQ7			mapped	
AACDB	1947	5x8l	Q9NZQ7			mapped	
AACDB	1948	5x8l	Q9NZQ7			mapped	
AACDB	1949	5x8m	Q9NZQ7			mapped	
AACDB	1954	5xbm	Q14108			mapped	
AACDB	1955	5xbm	Q14108			mapped	
AACDB	1958	5xj3	P16410			mapped	
AACDB	1959	5xj3	P16410			mapped	
AACDB	1960	5xj3	P16410			mapped	
AACDB	1961	5xj3	P16410			mapped	
AACDB	1962	5xj4	Q9NZQ7			no_unambiguous_canonical_site	
AACDB	1966	5xwd	P00533			mapped	
AACDB	1967	5xxy	Q9NZQ7			mapped	
AACDB	1979	5y9j	Q9Y275			mapped	
AACDB	1980	5yhl	P35408			mapped	
AACDB	1981	5yoy	P01375			mapped	
AACDB	1982	5yoy	P01375			mapped	
AACDB	1983	5yoy	P01375			mapped	
AACDB	1984	5yoy	P01375			mapped	
AACDB	1985	5yoy	P01375			mapped	
AACDB	1986	5yoy	P01375			mapped	
AACDB	1989	5ywy	P35408			mapped	
AACDB	1992	6a3w	Q07011			mapped	
AACDB	1993	6a3w	Q07011			mapped	
AACDB	1994	6a3w	Q07011			mapped	
AACDB	1995	6a3w	Q07011			mapped	
AACDB	2002	6a77	Q9Y6N7			mapped	
AACDB	2003	6a78	Q9Y6N7			mapped	
AACDB	2004	6a78	Q9Y6N7			mapped	
AACDB	2005	6a79	Q9Y6N7			mapped	
AACDB	2006	6a79	Q9Y6N7			mapped	
AACDB	2020	6al5	P15391			mapped	
AACDB	2031	6aru	P00533			mapped	
AACDB	2032	6att	P04626			mapped	
AACDB	2033	6avq	P05106			mapped	
AACDB	2034	6avr	P05106			mapped	
AACDB	2035	6avu	P05106			mapped	
AACDB	2051	6b3s	P00533			no_unambiguous_canonical_site	
AACDB	2052	6b3s	P00533			no_unambiguous_canonical_site	
AACDB	2053	6b3s	P00533			no_unambiguous_canonical_site	
AACDB	2054	6b3s	P00533			no_unambiguous_canonical_site	
AACDB	2057	6ba5	Q01973			mapped	
AACDB	2058	6ba5	Q01973			mapped	
AACDB	2059	6ba5	Q01973			mapped	
AACDB	2060	6ba5	Q01973			mapped	
AACDB	2061	6ban	Q01973			mapped	
AACDB	2062	6ban	Q01973			mapped	
AACDB	2063	6ban	Q01973			mapped	
AACDB	2064	6ban	Q01973			mapped	
AACDB	2066	6bdz	O14672			mapped	
AACDB	2076	6bgt	P04626			mapped	
AACDB	2077	6bit	P78324			mapped	
AACDB	2078	6bit	P78324			mapped	
AACDB	2117	6cnj	P17787			mapped	
AACDB	2118	6cnj	P17787			mapped	
AACDB	2119	6cnj	P17787			mapped	
AACDB	2120	6cnk	P17787			mapped	
AACDB	2121	6cnk	P17787			mapped	
AACDB	2136	6cxy	P12830			mapped	
AACDB	2160	6dkj	P48546			mapped	
AACDB	2161	6dkj	P48546			mapped	
AACDB	2164	6dzv	P31645			mapped	
AACDB	2165	6dzw	P31645			mapped	
AACDB	2166	6dzw	P31645			mapped	
AACDB	2167	6dzy	P31645			mapped	
AACDB	2168	6dzy	P31645			mapped	
AACDB	2169	6dzz	P31645			mapped	
AACDB	2179	6ehg	P01024			mapped	
AACDB	2196	6fax	P25942			mapped	
AACDB	2208	6fn1	P08183			mapped	
AACDB	2209	6fn4	P08183			mapped	
AACDB	2210	6fxn	Q9Y275			mapped	
AACDB	2211	6fxn	Q9Y275			mapped	
AACDB	2212	6fxn	Q9Y275			mapped	
AACDB	2213	6fxn	Q9Y275			mapped	
AACDB	2214	6fxn	Q9Y275			mapped	
AACDB	2215	6fxn	Q9Y275			mapped	
AACDB	2221	6gjq	P13569			mapped	
AACDB	2222	6gjq	P13569			mapped	
AACDB	2223	6gjq	P13569			mapped	
AACDB	2224	6gjq	P13569			mapped	
AACDB	2225	6gjs	P13569			mapped	
AACDB	2226	6gjs	P13569			mapped	
AACDB	2227	6gju	P13569			mapped	
AACDB	2228	6gju	P13569			mapped	
AACDB	2229	6gk4	P13569			mapped	
AACDB	2230	6gk4	P13569			mapped	
AACDB	2231	6gk4	P13569			mapped	
AACDB	2232	6gk4	P13569			mapped	
AACDB	2233	6gkd	P13569			mapped	
AACDB	2234	6gkd	P13569			mapped	
AACDB	2235	6gkd	P13569			mapped	
AACDB	2236	6gkd	P13569			mapped	
AACDB	2237	6gkd	P13569			mapped	
AACDB	2238	6gkd	P13569			mapped	
AACDB	2239	6gkd	P13569			mapped	
AACDB	2240	6gkd	P13569			mapped	
AACDB	2241	6gkd	P13569			mapped	
AACDB	2242	6gkd	P13569			mapped	
AACDB	2243	6gkd	P13569			mapped	
AACDB	2244	6gkd	P13569			mapped	
AACDB	2251	6gwq	P05121			mapped	
AACDB	2252	6h15	O75581			mapped	
AACDB	2253	6h15	O75581			mapped	
AACDB	2254	6h16	O75581			mapped	
AACDB	2255	6h1f	P06396			mapped	
AACDB	2278	6hga	Q8NAC3			no_unambiguous_canonical_site	
AACDB	2282	6hig	Q15116			mapped	
AACDB	2285	6hxw	P21589			mapped	
AACDB	2286	6hxw	P21589			mapped	
AACDB	2287	6i04	P08581			mapped	
AACDB	2288	6i04	P08581			mapped	
AACDB	2289	6i07	P16422			no_unambiguous_canonical_site	
AACDB	2290	6i07	P16422			no_unambiguous_canonical_site	
AACDB	2295	6i8s	P05121			mapped	
AACDB	2296	6i8s	P05121			mapped	
AACDB	2297	6i8s	P05121			mapped	
AACDB	2298	6i8s	P05121			mapped	
AACDB	2301	6iap	O76036			mapped	
AACDB	2302	6iap	O76036			mapped	
AACDB	2340	6ion	O95274			mapped	
AACDB	2357	6j14	Q15116			mapped	
AACDB	2358	6j15	Q15116			no_unambiguous_canonical_site	
AACDB	2359	6j15	Q15116			no_unambiguous_canonical_site	
AACDB	2363	6j6y	P22455			mapped	
AACDB	2364	6j6y	P22455			mapped	
AACDB	2365	6j71	P04626			mapped	
AACDB	2369	6jbt	Q15116			mapped	
AACDB	2372	6jjp	Q15116			mapped	
AACDB	2373	6jjp	Q15116			mapped	
AACDB	2374	6jmq	P08195			mapped	
AACDB	2375	6jmr	P08195			mapped	
AACDB	2376	6jmr	P08195			mapped	
AACDB	2377	6jod	P50052			mapped	
AACDB	2378	6k0y	Q15116			mapped	
AACDB	2399	6k7o	Q8NHJ6			mapped	
AACDB	2400	6k7o	Q8NHJ6			mapped	
AACDB	2401	6k7o	Q8NHJ6			mapped	
AACDB	2402	6k7o	Q8NHJ6			mapped	
AACDB	2403	6kn9	O95256			mapped	
AACDB	2404	6kn9	O95256			mapped	
AACDB	2405	6kn9	O95256			mapped	
AACDB	2408	6krz	Q96A54			no_unambiguous_canonical_site	
AACDB	2409	6krz	Q96A54			no_unambiguous_canonical_site	
AACDB	2410	6krz	Q96A54			no_unambiguous_canonical_site	
AACDB	2411	6ks0	Q96A54			no_unambiguous_canonical_site	
AACDB	2412	6ks1	Q86V24			no_unambiguous_canonical_site	
AACDB	2438	6lyn	P43121			mapped	
AACDB	2439	6lyn	P43121			mapped	
AACDB	2470	6mhr	Q07011			mapped	
AACDB	2471	6mhr	Q07011			mapped	
AACDB	2472	6mi2	Q07011			mapped	
AACDB	2473	6mi2	Q07011			mapped	
AACDB	2493	6mvl	Q9H7M9			mapped	
AACDB	2516	6n48	P07550			no_unambiguous_canonical_site	
AACDB	2551	6nmr	P78324			mapped	
AACDB	2552	6nmr	P78324			mapped	
AACDB	2553	6nmr	P78324			mapped	
AACDB	2554	6nmr	P78324			mapped	
AACDB	2555	6nms	P78324			mapped	
AACDB	2556	6nms	P78324			mapped	
AACDB	2557	6nmt	P78324			mapped	
AACDB	2558	6nmu	P78324			no_unambiguous_canonical_site	
AACDB	2559	6nmu	P78324			no_unambiguous_canonical_site	
AACDB	2560	6nmv	P78324			mapped	
AACDB	2566	6o1f	Q15661			no_unambiguous_canonical_site	
AACDB	2567	6o39	Q13467			mapped	
AACDB	2568	6o3a	O75084			mapped	
AACDB	2569	6o3b	O75084			mapped	
AACDB	2570	6o3b	O75084			mapped	
AACDB	2571	6o8d	P10747			mapped	
AACDB	2594	6oge	P04626			mapped	
AACDB	2595	6oge	P04626			mapped	
AACDB	2596	6ogx	P43489			mapped	
AACDB	2597	6ogx	P43489			mapped	
AACDB	2648	6osh	Q01974			mapped	
AACDB	2649	6osv	Q01974			mapped	
AACDB	2674	6p50	P16871			mapped	
AACDB	2681	6p67	P16871			mapped	
AACDB	2682	6p67	P16871			mapped	
AACDB	2683	6p67	P16871			mapped	
AACDB	2684	6p67	P16871			mapped	
AACDB	2700	6pe8	P25942			mapped	
AACDB	2701	6pe8	P25942			mapped	
AACDB	2702	6pe9	P25942			mapped	
AACDB	2703	6pe9	P25942			mapped	
AACDB	2704	6pe9	P25942			mapped	
AACDB	2718	6pv7	P32297			mapped	
AACDB	2719	6pv7	P30926			mapped	
AACDB	2720	6pv7	P32297			mapped	
AACDB	2721	6pv7	P30926			mapped	
AACDB	2722	6pv8	P32297			mapped	
AACDB	2723	6pv8	P30926			mapped	
AACDB	2724	6pv8	P32297			mapped	
AACDB	2725	6pv8	P30926			mapped	
AACDB	2768	6qex	P08183			mapped	
AACDB	2780	6r0x	O95866			no_unambiguous_canonical_site	
AACDB	2781	6r0x	O95866			no_unambiguous_canonical_site	
AACDB	2791	6rlo	P21926			mapped	
AACDB	2792	6rlo	P21926			mapped	
AACDB	2793	6rlo	P21926			mapped	
AACDB	2794	6rlo	P21926			mapped	
AACDB	2796	6rp8	P16410			mapped	
AACDB	2797	6rp8	P16410			mapped	
AACDB	2798	6rpj	P16410			mapped	
AACDB	2799	6rpj	P16410			mapped	
AACDB	2800	6rpj	P16410			mapped	
AACDB	2801	6rpj	P16410			mapped	
AACDB	2802	6rps	O43570			no_unambiguous_canonical_site	
AACDB	2803	6rps	O43570			no_unambiguous_canonical_site	
AACDB	2804	6rqm	P16410			mapped	
AACDB	2805	6rtw	Q13635			mapped	
AACDB	2806	6rty	Q13635			mapped	
AACDB	2807	6rvc	Q13635			mapped	
AACDB	2808	6rvc	Q13635			mapped	
AACDB	2809	6rvc	Q13635			mapped	
AACDB	2845	6suz	P04156			mapped	
AACDB	2846	6sv2	P04156			mapped	
AACDB	2847	6svl	Q969H8			mapped	
AACDB	2848	6svl	Q969H8			mapped	
AACDB	2849	6svl	Q969H8			mapped	
AACDB	2850	6svl	Q969H8			mapped	
AACDB	2851	6svl	Q969H8			mapped	
AACDB	2852	6svl	Q969H8			mapped	
AACDB	2856	6t3j	O14763			mapped	
AACDB	2857	6t3j	O14763			mapped	
AACDB	2858	6t3j	O14763			mapped	
AACDB	2859	6t3j	O14763			mapped	
AACDB	2866	6txz	Q8TDQ0			mapped	
AACDB	2867	6txz	Q8TDQ0			mapped	
AACDB	2868	6txz	Q8TDQ0			mapped	
AACDB	2869	6txz	Q8TDQ0			mapped	
AACDB	2891	6u2f	Q8NBP7			mapped	
AACDB	2892	6u36	Q8NBP7			mapped	
AACDB	2893	6u38	Q8NBP7			mapped	
AACDB	2894	6u3i	Q8NBP7			mapped	
AACDB	2900	6u6u	Q9HB29			mapped	
AACDB	2901	6u9s	P60033			no_unambiguous_canonical_site	
AACDB	2902	6u9s	P60033			no_unambiguous_canonical_site	
AACDB	2922	6uj9	P01889			mapped	
AACDB	2923	6ujb	P06756			mapped	
AACDB	2924	6ujb	P26012			mapped	
AACDB	2925	6ujc	P06756			mapped	
AACDB	2926	6ujc	P26012			mapped	
AACDB	2975	6v4p	P08514			mapped	
AACDB	2976	6v4p	P05106			mapped	
AACDB	2990	6vc9	P21589			mapped	
AACDB	2991	6vca	P21589			mapped	
AACDB	2992	6vca	P21589			mapped	
AACDB	2993	6vca	P21589			mapped	
AACDB	2994	6vca	P21589			mapped	
AACDB	2996	6vep	P06213			mapped	
AACDB	2997	6vep	P06213			mapped	
AACDB	2998	6vep	P06213			mapped	
AACDB	2999	6vep	P06213			mapped	
AACDB	3000	6veq	P06213			mapped	
AACDB	3001	6veq	P06213			mapped	
AACDB	3002	6vgr	Q9H4B8			mapped	
AACDB	3003	6vgr	Q9H4B8			mapped	
AACDB	3007	6vi4	P41145			mapped	
AACDB	3008	6vi4	P41145			mapped	
AACDB	3009	6vja	P11836			mapped	
